"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Anthony Martinez","Orioles (A)","24","115","423","468","109","70","27","1","11","54","54","38","2","113","1","6","0","5","3","1",".258","sa327144"
"Jeffrey Cunningham","Rockies (A)","22","109","404","455","104","61","23","2","18","63","78","47","0","134","3","1","0","2","6","6",".257","sa389894"
"Denis Phipps","Reds (A)","22","124","474","518","121","91","19","4","7","57","57","34","0","113","4","6","0","8","10","10",".255","6968"
"Adam Coe","Braves (A)","20","105","392","419","100","64","28","1","7","42","45","15","0","96","6","1","5","10","6","7",".255","sa326848"
"Eric Taylor","Astros (A)","22","132","483","551","123","91","22","1","9","67","56","48","2","91","10","4","5","18","27","3",".255","sa327758"
"Travis Mattair","Phillies (A)","19","129","460","507","117","92","20","1","4","59","52","36","1","108","9","0","2","10","9","5",".254","sa389235"
"Shane Jordan","Giants (A)","23","123","438","532","111","94","14","3","0","76","29","65","0","60","8","8","13","9","35","12",".253","sa392060"
"Michael Fisher","Braves (A)","23","123","446","491","113","87","20","2","4","50","38","31","0","94","7","1","6","3","10","7",".253","sa388384"
"Jose Jimenez","Mets (A)","21","90","336","376","85","50","23","1","11","46","48","28","0","75","6","6","0","8","2","3",".253","sa295166"
"Andrew Davis","Giants (A)","24","121","439","481","111","77","28","3","3","44","56","33","1","77","1","6","2","7","4","2",".253","sa389850"
"Chris Cates","Twins (A)","23","122","408","479","103","90","13","0","0","44","39","45","0","41","4","4","18","9","8","9",".252","sa393394"
"Cody Johnson","Braves (A)","19","127","468","514","118","65","26","1","26","62","89","40","0","177","0","6","0","8","8","3",".252","sa326488"
"Andy Parrino","Padres (A)","22","120","405","487","102","75","20","0","7","67","43","71","0","127","4","3","4","7","8","5",".252","3972"
"Derrick Mitchell","Phillies (A)","21","115","453","497","114","69","32","2","11","72","62","20","0","77","9","4","11","4","9","6",".252","sa295726"
"Matt Lawson","Rangers (A)","22","100","362","412","91","68","15","2","6","57","25","35","0","79","3","1","11","2","18","7",".251","sa388392"
"Omar Luna","Rays (A)","21","111","390","413","98","76","19","2","1","54","31","16","1","58","1","1","5","11","19","10",".251","sa392852"
"Kel Jones","Reds (A)","22","100","367","418","92","70","12","5","5","64","25","42","0","77","4","2","3","2","16","4",".251","sa328291"
"Matt Ray","Athletics (A)","24","105","371","428","93","74","13","3","3","50","35","41","0","87","6","3","7","7","14","7",".251","sa389786"
"Henry Wrigley","Rays (A)","21","113","404","437","101","71","13","10","7","45","60","24","1","62","2","5","2","14","7","3",".250","sa296971"
"Michael Burgess","Nationals (A)","19","112","401","460","100","52","26","4","18","60","60","46","3","136","8","5","0","8","5","1",".249","sa389928"
"David Mailman","Red Sox (A)","19","115","426","478","106","74","21","3","8","55","51","50","0","94","1","1","0","8","15","7",".249","sa390620"
"Denny Almonte","Mariners (A)","19","100","374","408","93","56","20","7","10","38","51","29","1","149","1","2","2","1","14","10",".249","sa390314"
"Che-Hsuan Lin","Red Sox (A)","19","91","362","415","90","66","13","6","5","60","37","43","1","62","9","1","0","3","33","7",".249","3734"
"David Williams","Yankees (A)","23","104","338","382","84","60","14","4","6","41","48","32","1","77","5","2","5","5","4","4",".249","sa389303"
"Brian Rike","Rockies (A)","22","120","445","519","110","80","13","2","15","67","75","62","0","161","7","4","1","6","13","7",".247","sa390311"
