"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Eric Duncan","Yankees (AAA)","23","120","437","481","102","67","23","1","11","47","60","37","4","113","3","4","0","6","6","4",".233","sa243993"
"Nick Green","Yankees (AAA)","29","112","391","432","91","62","15","2","12","41","50","26","0","102","4","4","6","8","3","2",".233","1502"
"Jason Lane","- - -","31","110","400","471","93","49","23","3","18","64","60","58","4","84","7","6","0","4","3","3",".233","1397"
"Yordany Ramirez","Astros (AAA)","23","124","432","457","100","62","23","3","12","50","52","11","1","65","5","8","1","10","19","9",".231","sa201860"
"Sergio Santos","- - -","24","112","390","417","89","55","29","0","5","51","47","21","0","72","1","5","0","9","6","2",".228","4734"
"Curtis Thigpen","Blue Jays (AAA)","25","96","361","395","80","54","23","0","3","28","41","21","0","58","3","5","5","15","2","1",".222","8260"
"Damon Hollins","Royals (AAA)","34","105","363","415","80","46","16","2","16","53","55","50","1","80","2","0","0","15","2","2",".220","1919"
"Brent Lillibridge","Braves (AAA)","24","90","355","403","78","49","18","7","4","46","39","33","0","90","6","4","5","6","23","7",".220","3501"
"Matt Antonelli","Padres (AAA)","23","128","451","540","97","67","19","4","7","62","39","76","0","86","8","5","0","11","6","4",".215","9343"
"Abraham O. Nunez","- - -","32","105","323","388","68","58","6","0","4","40","28","56","4","56","3","1","5","10","9","1",".211","1420"
"Anderson Hernandez","Mets (AAA)","25","125","479","523","97","64","21","7","5","57","36","38","1","95","1","2","3","12","11","8",".203","3366"
