"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jefry Marte","Tigers (AAA)","24","399","7.8 %","16.0 %","0.48",".275",".341",".487",".828",".213","5.0",".294","-0.7","59","16.5",".377","139","5107"
"Matt Duffy","Astros (AAA)","26","557","8.6 %","16.2 %","0.53",".294",".366",".484",".850",".190","4.4",".320","0.0","88","18.4",".376","127","12181"
"Ben Gamel","Yankees (AAA)","23","551","8.3 %","19.6 %","0.43",".300",".358",".472",".830",".172","6.6",".364","0.1","80","22.2",".375","138","12160"
"Matt Clark","Brewers (AAA)","28","548","10.6 %","19.3 %","0.55",".291",".367",".492",".858",".201","2.5",".331","-0.1","85","17.1",".374","125","8793"
"Chris Taylor","Mariners (AAA)","24","396","12.6 %","15.4 %","0.82",".300",".391",".429",".820",".128","6.5",".355","-0.5","61","12.0",".373","124","13757"
"Ed Lucas","Rangers (AAA)","33","442","10.2 %","19.2 %","0.53",".316",".389",".420",".809",".104","3.0",".389","-1.4","67","11.9",".369","122","7532"
"Matt Tuiasosopo","White Sox (AAA)","29","423","13.5 %","29.1 %","0.46",".230",".344",".447",".790",".216","3.6",".294","0.2","58","13.4",".363","130","8272"
"Cody Decker","Padres (AAA)","28","421","10.0 %","25.4 %","0.39",".252",".335",".488",".823",".236","2.8",".297","0.0","61","9.1",".362","117","9665"
"Stefen Romero","Mariners (AAA)","26","516","5.6 %","16.5 %","0.34",".292",".333",".494",".827",".202","6.2",".320","1.3","75","10.5",".361","116","11746"
"Brandon Allen","Mets (AAA)","29","466","10.9 %","19.7 %","0.55",".273",".350",".478",".828",".204","3.8",".310","-0.3","67","9.4",".361","116","7436"
"Brian Bogusevic","Phillies (AAA)","31","515","8.5 %","18.8 %","0.45",".296",".359",".424",".783",".128","5.9",".351","2.3","69","15.1",".360","128","4719"
"Gorkys Hernandez","Pirates (AAA)","27","391","10.5 %","19.9 %","0.53",".288",".365",".406",".771",".118","6.3",".355","1.8","52","10.9",".358","127","4146"
"L.J. Hoes","Astros (AAA)","25","429","12.1 %","14.5 %","0.84",".295",".383",".400",".783",".105","6.7",".344","1.4","61","7.7",".358","114","6656"
"Mike Hessman","Tigers (AAA)","37","475","12.0 %","21.7 %","0.55",".237",".341",".437",".778",".200","4.3",".276","0.1","63","13.1",".358","126","1808"
"Adam Duvall","- - -","26","541","5.7 %","21.1 %","0.27",".264",".312",".511",".823",".247","4.1",".281","0.3","76","11.1",".357","116","10950"
"Cristhian Adames","Rockies (AAA)","23","511","7.0 %","11.0 %","0.64",".311",".362",".438",".800",".127","4.3",".334","-1.1","72","8.8",".357","114","6013"
"Mike Freeman","Diamondbacks (AAA)","27","435","7.8 %","11.7 %","0.67",".317",".371",".422",".793",".106","7.2",".357","1.7","61","7.4",".357","114","11241"
"Ryan Roberts","Athletics (AAA)","34","499","10.2 %","12.6 %","0.81",".283",".355",".450",".805",".167","2.1",".302","-2.4","70","8.4",".356","114","5653"
"Tyler Holt","Indians (AAA)","26","431","11.6 %","14.4 %","0.81",".302",".386",".370",".756",".068","7.1",".360","2.5","57","11.3",".356","125","11391"
"Brent Morel","- - -","28","472","6.4 %","20.6 %","0.31",".286",".337",".448",".785",".162","4.9",".343","0.4","63","10.9",".355","121","6402"
"Kyle Kubitza","Angels (AAA)","24","526","11.4 %","23.8 %","0.48",".271",".357",".433",".791",".162","5.4",".355","0.7","73","7.7",".354","112","12148"
"Rob Refsnyder","Yankees (AAA)","24","525","10.7 %","13.9 %","0.77",".271",".359",".402",".761",".131","5.0",".302","1.0","68","12.8",".353","123","13770"
"Michael Martinez","Indians (AAA)","32","401","8.0 %","15.0 %","0.53",".289",".344",".424",".768",".135","6.4",".332","0.6","52","9.6",".353","123","7358"
"John Andreoli","Cubs (AAA)","25","448","12.3 %","21.7 %","0.57",".277",".372",".401",".773",".124","8.2",".360","2.8","62","5.9",".352","111","sa577764"
"Greg Garcia","Cardinals (AAA)","25","389","12.3 %","14.1 %","0.87",".294",".391",".364",".754",".070","5.6",".351","1.6","53","4.9",".351","110","10951"
