"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Carlos Sosa","Giants (AA)","25","112","376","429","102","67","24","2","9","55","54","47","1","91","2","4","0","10","3","4",".271","sa606586"
"Marshall Hubbard","Mariners (AA)","25","131","488","568","132","81","31","5","15","73","78","65","2","135","8","7","0","11","1","1",".270","sa254467"
"Jeff Natale","Red Sox (AA)","24","119","404","524","109","75","28","1","5","66","64","88","1","36","21","10","1","6","5","3",".270","sa294116"
"Adam Boeve","Pirates (AA)","27","96","330","389","89","56","14","2","17","55","53","50","1","100","5","2","0","8","17","5",".270","sa226339"
"Mike Costanzo","Phillies (AA)","23","137","508","595","137","80","29","1","27","92","86","75","8","157","7","5","0","8","2","0",".270","3533"
"Roger Bernadina","Nationals (AA)","23","97","371","415","100","77","15","2","6","58","36","38","0","80","2","1","3","9","40","13",".270","6421"
"A.J. Ellis","Dodgers (AA)","26","109","357","430","96","64","22","2","8","59","57","60","1","61","8","4","1","12","1","4",".269","5677"
"Drew Sutton","Astros (AA)","24","128","480","558","129","91","28","1","9","81","53","57","3","86","7","6","8","11","24","5",".269","7430"
"Corey Wimberly","Rockies (AA)","23","92","365","404","98","78","15","1","4","63","33","19","0","52","12","4","4","1","36","9",".268","sa290201"
"Mark Jurich","Braves (AA)","26","114","373","420","100","58","32","3","7","46","63","36","1","62","3","5","1","3","1","2",".268","sa254497"
"David Winfree","Twins (AA)","21","123","460","490","123","79","27","5","12","57","51","26","0","106","2","2","0","12","0","0",".267","sa244377"
"Richie Robnett","Athletics (AA)","23","120","490","531","131","72","39","2","18","73","74","34","3","130","3","4","0","12","4","3",".267","sa262564"
"Ryan Patterson","Blue Jays (AA)","24","111","446","475","119","74","27","0","18","53","68","23","0","102","1","4","1","11","1","4",".267","sa290196"
"Enrique Cruz","Reds (AA)","25","128","484","539","129","92","29","1","7","60","62","42","0","116","0","6","7","8","12","4",".267","1673"
"Jeff Larish","Tigers (AA)","24","132","454","556","121","66","25","2","28","71","101","87","9","108","9","6","0","2","6","2",".267","5128"
"Jeff Corsaletti","Red Sox (AA)","24","123","462","560","123","93","21","3","6","93","58","83","1","87","9","4","2","6","20","7",".266","sa294438"
"Brandon Boggs","Rangers (AA)","24","104","354","429","94","50","21","4","19","69","55","70","5","103","1","4","0","3","10","4",".266","8021"
"Adam Greenberg","Royals (AA)","26","132","467","565","124","75","30","11","8","73","43","74","2","107","7","1","13","1","23","9",".266","4647"
"Jay Johnson","Red Sox (AA)","24","109","411","463","109","73","27","4","5","47","64","44","1","79","3","2","3","7","5","3",".265","sa292359"
"Brandon Chaves","Pirates (AA)","27","105","336","387","89","70","17","2","0","41","40","39","1","79","6","2","4","6","19","6",".265","sa198974"
"Andrew Pinckney","Red Sox (AA)","25","125","458","508","121","75","28","4","14","72","64","41","1","100","4","5","0","8","4","7",".264","sa253714"
"Adam Morrissey","Angels (AA)","26","134","486","599","128","90","27","2","9","85","50","92","1","131","15","1","5","11","12","7",".263","sa198185"
"Ruddy Yan","Orioles (AA)","25","98","373","412","98","78","14","3","3","52","22","32","0","39","1","2","4","12","10","10",".263","sa199212"
"Miguel Negron","Mets (AA)","24","94","362","403","95","69","21","1","4","44","57","35","2","66","0","4","2","8","14","8",".262","sa199057"
"Gary Cates","Cubs (AA)","25","97","343","379","90","76","11","1","2","29","27","18","0","44","1","3","14","6","16","7",".262","sa198033"
"Matt Miller","Rockies (AA)","24","126","446","502","117","82","22","2","11","59","61","42","2","69","10","4","0","10","1","4",".262","sa253307"
"Simon Klink","Giants (AA)","25","117","408","453","107","75","18","3","11","40","45","37","4","110","2","3","3","11","1","1",".262","sa253840"
"P.J. Pilittere","Yankees (AA)","25","100","348","388","91","71","16","2","2","43","34","26","0","42","6","7","1","9","0","1",".261","sa262169"
"Jai Miller","Marlins (AA)","22","129","406","473","106","64","26","2","14","54","58","55","3","127","5","3","4","10","12","5",".261","5715"
"Peter Ciofrone","Padres (AA)","23","97","364","408","95","71","16","2","6","58","34","33","2","55","10","0","1","6","1","4",".261","sa202378"
"Matt Tuiasosopo","Mariners (AA)","21","129","446","548","116","75","27","5","9","74","57","76","2","113","11","14","1","14","4","8",".260","8272"
"Reid Brignac","Devil Rays (AA)","21","133","527","596","137","85","30","5","17","91","81","55","3","94","3","10","1","11","15","5",".260","8380"
"Ricardo Nanita","White Sox (AA)","26","123","427","475","111","85","21","0","5","45","42","33","3","53","5","6","4","12","10","8",".260","sa225794"
"Chris Rahl","Diamondbacks (AA)","23","119","432","458","112","73","26","5","8","64","51","15","1","87","3","5","3","9","15","5",".259","sa291400"
"Jemel Spearman","Cubs (AA)","26","115","355","390","92","62","16","7","7","53","41","29","2","54","0","3","3","8","8","2",".259","sa201608"
"Shaun Cumberland","- - -","22","130","467","512","121","89","23","2","7","44","51","36","2","91","4","3","2","10","4","9",".259","sa244024"
"Cory Aldridge","White Sox (AA)","28","124","421","500","109","62","33","5","9","60","58","70","4","117","3","6","0","7","4","3",".259","1405"
"Trevor Crowe","Indians (AA)","23","133","518","589","134","99","26","4","5","87","50","62","2","71","4","3","2","15","28","9",".259","3402"
"Andrew McCutchen","Pirates (AA)","20","118","446","498","115","82","20","3","10","70","48","44","1","83","3","3","2","9","17","1",".258","9847"
"Brendan Katin","Brewers (AA)","24","128","450","508","116","68","24","0","24","72","94","41","2","163","10","6","1","10","3","2",".258","sa290612"
"Jeff Baisley","Athletics (AA)","24","101","404","442","104","68","22","3","11","60","46","29","1","84","3","6","0","5","4","1",".257","9684"
"Jonathan Herrera","Rockies (AA)","22","131","509","573","131","100","24","4","3","65","40","36","0","69","8","3","17","5","18","12",".257","4182"
