"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chris Mariscal","Mariners (A)","22","105","382","437","90","72","13","3","2","35","44","41","0","113","6","4","4","2","5","6",".236","sa600255"
"Matt Tellor","Braves (A)","23","99","357","382","84","57","22","0","5","34","44","23","0","99","0","2","0","9","0","2",".235","sa829180"
"Dale Carey","Nationals (A)","23","121","415","507","97","69","18","2","8","64","52","66","0","91","6","10","9","10","10","9",".234","sa549487"
"John Norwood","Marlins (A)","22","120","446","499","104","67","19","2","16","53","55","42","0","113","5","4","2","7","34","14",".233","sa598986"
"Yu-Cheng Chang","Indians (A)","19","105","393","440","91","62","16","4","9","52","52","27","0","103","9","4","7","7","5","6",".232","sa830276"
"Skyler Ewing","Giants (A)","22","128","467","535","108","74","26","6","2","51","42","56","0","108","8","4","0","5","2","3",".231","sa827317"
"Michael Gettys","Padres (A)","19","122","494","529","114","75","27","6","6","62","44","28","0","162","1","5","1","3","20","10",".231","sa828692"
"Taylor Gushue","Pirates (A)","21","99","360","395","83","57","17","4","5","35","47","25","1","79","5","3","2","9","1","2",".231","sa827360"
"Jeff Gardner","Nationals (A)","23","116","403","453","91","57","25","4","5","50","48","38","0","90","5","6","1","11","8","7",".226","sa827127"
"Max Murphy","Twins (A)","22","93","347","388","78","51","15","8","4","54","36","27","0","87","12","2","0","15","8","2",".225","sa827182"
"Sthervin Matos","Brewers (A)","21","117","407","466","91","65","13","5","8","61","45","42","0","120","6","7","4","7","23","9",".224","sa600897"
"Michael Chavis","Red Sox (A)","19","109","435","471","97","51","29","1","16","56","58","29","1","144","4","1","2","13","8","5",".223","sa828673"
"Deivi Grullon","Phillies (A)","19","107","394","424","87","59","19","1","8","38","50","23","0","105","5","0","2","8","0","0",".221","sa739661"
"Kristian Brito","Mariners (A)","20","105","384","421","84","59","17","1","7","28","51","27","0","130","0","9","1","14","2","1",".219","sa658163"
"Andrew Cain","Giants (A)","25","98","330","376","72","39","19","3","11","44","48","38","1","123","4","2","2","3","9","5",".218","sa598759"
"Ryan Bottger","Astros (A)","22","103","363","425","79","61","11","1","6","37","46","53","3","95","1","8","0","7","0","5",".218","sa829028"
"Jiandido Tromp","Phillies (A)","21","113","412","451","89","56","18","6","9","42","44","27","0","117","4","4","4","7","10","5",".216","sa659194"
"Zack Larson","Twins (A)","21","106","393","456","84","62","20","2","0","48","54","39","1","84","8","10","6","10","16","1",".214","sa658498"
"Alex De Leon","Cardinals (A)","24","110","391","444","83","48","24","0","11","38","55","44","0","122","3","5","1","7","0","0",".212","sa738282"
"Justin Chigbogu","Dodgers (A)","20","94","354","392","74","37","24","0","13","33","51","33","0","136","2","3","0","8","1","2",".209","sa657993"
"Justin Twine","Marlins (A)","19","117","451","473","93","63","20","3","7","44","39","6","0","108","12","4","0","11","8","4",".206","sa828686"
"Joe DeCarlo","Mariners (A)","21","115","384","477","78","50","16","2","10","47","37","70","3","123","18","5","0","9","2","1",".203","sa657935"
"Tanner Murphy","Braves (A)","20","98","337","382","65","40","17","1","7","33","35","38","0","91","3","4","0","10","0","0",".193","sa737877"
"Zach Sullivan","Marlins (A)","19","116","370","406","71","61","7","3","0","42","21","19","0","106","3","4","10","8","13","4",".192","sa829083"
