Name,PA,BB%,K%,AVG,OBP,SLG,OPS
Connor Marabell,380.000,8.700,13.200,0.311,0.368,0.482,0.850
Connor Narron,486.000,8.000,20.800,0.232,0.300,0.353,0.653
Connor Oliver,455.000,8.400,20.900,0.252,0.327,0.351,0.677
Connor Panas,383.000,11.700,25.300,0.231,0.343,0.430,0.773
Conor Bierfeldt,442.000,8.600,24.200,0.196,0.274,0.360,0.635
Corban Joseph,436.000,11.200,14.000,0.300,0.381,0.418,0.799
Cord Sandberg,550.000,5.300,16.000,0.255,0.303,0.345,0.648
Corey Adamson,405.000,11.900,18.800,0.269,0.363,0.363,0.726
Corey Dickerson,436.000,8.900,22.700,0.282,0.356,0.629,0.986
Corey Kemp,434.000,12.400,16.800,0.282,0.376,0.397,0.772
Corey Toups,444.000,9.900,18.500,0.291,0.369,0.441,0.809
Correlle Prime,552.000,6.500,23.700,0.291,0.336,0.520,0.856
Craig Aikin,397.000,9.600,23.400,0.239,0.321,0.316,0.637
Craig Corrado,546.000,4.400,16.800,0.275,0.315,0.349,0.663
Craig Tatum,381.000,8.400,18.400,0.277,0.344,0.408,0.752
Creede Simpson,393.000,10.700,21.100,0.248,0.334,0.385,0.719
Cristhian Adames,459.000,9.200,16.100,0.273,0.350,0.386,0.736
Cristian Pache,514.000,7.600,20.200,0.281,0.335,0.343,0.679
Cristian Toribio,395.000,3.800,20.000,0.239,0.270,0.366,0.636
Curt Rindal,440.000,7.000,17.500,0.262,0.327,0.397,0.724
Cutter Dykstra,458.842,10.726,16.992,0.301,0.389,0.409,0.798
D' Vontrey Richardson,593.000,9.800,27.700,0.243,0.331,0.368,0.699
D.J. Burt,542.000,9.400,19.900,0.257,0.335,0.338,0.673
D.J. Davis,548.066,6.802,26.099,0.248,0.304,0.354,0.658
D.J. Fitzgerald,419.000,9.300,21.200,0.283,0.351,0.413,0.764
D.J. Hicks,400.000,8.500,21.300,0.297,0.355,0.494,0.850
D.J. Wabick,461.000,5.900,18.700,0.306,0.348,0.442,0.789
Dale Carey,507.000,13.000,17.900,0.234,0.340,0.345,0.685
Dale Mollenhauer,382.000,6.300,14.900,0.293,0.338,0.422,0.760
Dallas Morris,493.000,5.100,13.400,0.260,0.303,0.375,0.679
Dalton Kelly,564.000,11.200,20.200,0.293,0.384,0.416,0.800
Dalton Pompey,511.000,12.300,20.700,0.261,0.358,0.394,0.752
Damek Tomscha,456.876,8.025,13.595,0.282,0.368,0.422,0.790
Dan Black,573.000,8.700,19.000,0.286,0.354,0.496,0.850
Dan Gamache,502.000,8.200,18.900,0.285,0.350,0.430,0.780
Dan Grovatt,551.000,11.100,16.300,0.284,0.364,0.418,0.782
Dan Nelson,568.000,11.100,15.300,0.253,0.343,0.360,0.704
Daniel Arribas,508.000,11.400,20.300,0.256,0.360,0.399,0.759
Daniel Brito,491.000,6.700,19.300,0.239,0.298,0.318,0.615
Daniel Carte,485.000,8.700,22.100,0.258,0.342,0.423,0.764
Daniel Figueroa,492.000,13.800,18.500,0.278,0.398,0.338,0.737
Daniel Garcia,388.000,6.700,28.100,0.228,0.282,0.379,0.660
Daniel Mateo,568.000,7.600,18.100,0.262,0.325,0.386,0.711
Daniel Mayora,571.000,7.200,21.700,0.312,0.367,0.479,0.846
Daniel Palka,521.000,10.700,24.800,0.248,0.332,0.466,0.798
Daniel Paolini,473.000,10.400,13.300,0.299,0.376,0.493,0.869
Daniel Pertusati,492.000,6.900,15.700,0.251,0.316,0.341,0.656
Daniel Rams,450.000,6.900,32.200,0.243,0.310,0.450,0.759
Daniel Robertson,478.417,9.522,13.598,0.287,0.367,0.399,0.767
Daniel Vogelbach,502.000,11.400,15.100,0.284,0.364,0.450,0.814
Daniel Wagner,567.000,6.300,11.600,0.272,0.321,0.332,0.653
Danny Black,466.000,7.900,17.400,0.280,0.338,0.383,0.722
Danny Brezeale,447.000,3.400,27.700,0.228,0.279,0.361,0.641
Danny Hayes,559.000,13.100,21.300,0.283,0.381,0.440,0.821
Danny Mendick,412.000,7.500,18.200,0.274,0.343,0.355,0.698
Danny Ortiz,514.000,7.200,18.700,0.239,0.294,0.391,0.685
Danny Payne,477.000,15.500,22.400,0.246,0.366,0.398,0.765
Danny Perales,609.000,6.900,16.400,0.282,0.338,0.462,0.800
Danny Pinero,497.000,11.500,13.700,0.289,0.377,0.398,0.775
Danny Santana,409.000,6.100,24.000,0.247,0.298,0.373,0.671
Danny Woodrow,541.000,9.400,17.200,0.271,0.341,0.324,0.665
Danry Vasquez,551.000,6.700,12.900,0.284,0.331,0.400,0.731
Dante Bichette,504.643,8.593,21.134,0.232,0.308,0.331,0.639
Darick Hall,477.000,6.100,23.100,0.272,0.340,0.533,0.872
Darin Holcomb,591.000,11.000,10.200,0.318,0.400,0.491,0.891
Dario Pizzano,531.000,11.500,9.000,0.311,0.392,0.471,0.863
Darrell Ceciliani,488.000,10.700,19.700,0.259,0.351,0.361,0.712
Darren Ford,566.000,9.900,23.500,0.283,0.361,0.387,0.747
Darren Seferina,451.000,8.200,19.500,0.295,0.354,0.446,0.800
Darwin Perez,417.000,11.800,20.100,0.261,0.352,0.341,0.693
Daryl Jones,494.869,8.808,20.990,0.230,0.315,0.338,0.653
Dash Winningham,489.460,6.769,21.642,0.235,0.294,0.378,0.671
David Cash,446.000,4.500,20.400,0.262,0.295,0.325,0.620
David Chester,385.000,10.600,23.100,0.270,0.356,0.462,0.818
David Christensen,473.000,5.500,35.100,0.234,0.293,0.452,0.745
David Dahl,422.000,5.500,15.400,0.309,0.347,0.500,0.847
David Freitas,516.000,15.900,16.900,0.288,0.409,0.450,0.859
David Gonzalez,424.903,9.108,13.955,0.248,0.326,0.313,0.639
David Hicks,408.000,7.400,10.300,0.237,0.292,0.331,0.622
David Lough,543.000,6.400,12.900,0.268,0.329,0.455,0.784
David Mailman,478.000,10.500,19.700,0.249,0.328,0.369,0.697
David Maroul,439.000,5.700,28.000,0.249,0.303,0.402,0.705
David Medina,486.000,10.300,27.400,0.241,0.318,0.385,0.703
David Nick,553.000,7.400,17.500,0.251,0.318,0.366,0.684
David Renfroe,410.412,7.423,21.372,0.248,0.312,0.396,0.709
David Rodriguez,472.000,9.300,18.600,0.240,0.321,0.349,0.669
David Rohm,524.000,5.300,14.100,0.289,0.330,0.432,0.763
David Rubinstein,480.000,6.500,19.800,0.289,0.347,0.409,0.755
David Sutherland,500.000,8.000,11.400,0.268,0.331,0.353,0.684
David Vidal,514.000,8.600,21.600,0.280,0.350,0.498,0.847
David Williams,382.000,8.400,20.200,0.249,0.321,0.367,0.688
David Wood,445.000,6.500,15.700,0.270,0.318,0.406,0.724
Davy Gregg,456.000,5.700,21.900,0.225,0.276,0.261,0.537
Dawel Lugo,498.000,3.600,14.500,0.259,0.286,0.329,0.615
Daz Cameron,522.000,9.200,21.500,0.271,0.351,0.463,0.814
Deangelo Mack,476.000,9.700,20.800,0.252,0.333,0.408,0.741
Dee Brown,423.000,4.300,21.300,0.278,0.326,0.408,0.734
Dee Gordon,601.000,7.200,15.000,0.301,0.362,0.394,0.756
Deivi Grullon,424.000,5.400,24.800,0.221,0.273,0.335,0.608
Deivy Batista,442.000,7.700,22.600,0.236,0.293,0.337,0.630
Delino DeShields,532.152,11.468,21.259,0.258,0.352,0.380,0.731
Delta Cleary Jr.,446.000,7.000,19.500,0.256,0.315,0.376,0.691
Delvi Cid,502.097,6.842,24.700,0.260,0.324,0.316,0.641
Demi Orimoloye,518.000,7.700,26.800,0.214,0.281,0.351,0.632
Denis Phipps,511.583,7.340,20.615,0.247,0.310,0.348,0.657
Denny Almonte,427.302,6.317,34.831,0.240,0.289,0.414,0.703
Derek Dietrich,539.000,7.100,23.700,0.277,0.346,0.502,0.848
Derek Hill,415.000,5.800,25.300,0.266,0.312,0.349,0.661
Derek Jones,469.000,6.800,26.400,0.244,0.313,0.455,0.768
Derek Norris,540.000,16.700,21.500,0.286,0.413,0.513,0.926
Derrick Loveless,508.000,13.000,23.600,0.264,0.363,0.390,0.753
Derrick Mitchell,497.000,4.000,15.500,0.252,0.294,0.404,0.698
Derrick Robinson,449.000,7.100,22.300,0.243,0.299,0.300,0.599
Derrick Walker,462.000,9.500,23.400,0.246,0.353,0.391,0.744
Derrik Gibson,565.000,10.800,17.900,0.230,0.321,0.300,0.621
Desmond Jennings,448.000,10.000,11.800,0.315,0.401,0.465,0.866
Destin Hood,541.000,6.100,22.000,0.285,0.333,0.388,0.722
Devin Harris,452.000,9.700,30.100,0.231,0.310,0.414,0.724
Dexter Fowler,458.000,9.400,17.200,0.296,0.373,0.462,0.835
Dexture McCall,446.000,8.700,19.500,0.286,0.352,0.421,0.773
Dickie Joe Thon,429.000,5.400,27.300,0.265,0.314,0.359,0.673
Didi Gregorius,548.000,6.000,11.300,0.273,0.327,0.379,0.706
Diego Castillo,510.000,6.100,10.000,0.263,0.310,0.315,0.625
Diego Goris,388.000,4.100,12.100,0.266,0.294,0.374,0.667
Dillon Dobson,439.000,7.100,22.600,0.273,0.328,0.465,0.793
Dillon Hazlett,375.000,6.700,20.500,0.266,0.335,0.405,0.740
Dilson Herrera,503.000,8.000,23.100,0.267,0.334,0.416,0.750
Dimas Ojeda,386.000,4.700,20.700,0.248,0.284,0.333,0.617
Dixon Machado,491.000,9.400,15.700,0.235,0.314,0.247,0.561
Dom Nunez,441.000,12.000,12.500,0.282,0.373,0.448,0.821
Domingo Santana,467.000,6.900,28.900,0.287,0.362,0.471,0.833
Dominic D'Anna,384.000,13.000,16.100,0.286,0.386,0.422,0.809
Dominic De La Osa,411.000,8.000,20.900,0.205,0.283,0.251,0.534
Dominic Ficociello,580.000,6.900,20.000,0.275,0.334,0.379,0.714
Dominic Smith,518.000,9.800,14.900,0.271,0.344,0.338,0.683
Domonic Brown,516.000,12.400,14.000,0.291,0.382,0.417,0.798
Donald Dewees Jr.,410.000,7.100,12.400,0.282,0.337,0.414,0.751
Donald Lutz,506.000,6.700,24.700,0.301,0.358,0.492,0.850
Donnie Webb,525.000,7.600,21.000,0.289,0.351,0.420,0.771
Dorssys Paulino,498.807,6.317,19.297,0.248,0.304,0.351,0.655
Douglas Landaeta,428.273,5.287,20.068,0.247,0.290,0.370,0.661
Drew Dosch,558.000,8.400,17.400,0.314,0.379,0.404,0.783
Drew Garcia,499.000,4.200,15.600,0.269,0.307,0.371,0.678
Drew Leachman,468.000,9.400,13.700,0.272,0.349,0.359,0.708
Drew Maggi,565.000,11.300,12.600,0.267,0.361,0.357,0.718
Drew Robinson,507.000,17.000,24.300,0.273,0.409,0.444,0.853
Drew Stubbs,575.000,12.000,24.700,0.270,0.364,0.421,0.785
Drew Vettleson,562.000,9.100,20.800,0.275,0.340,0.432,0.772
Drew Ward,478.000,8.800,25.300,0.269,0.341,0.413,0.754
Drew Weeks,381.000,8.900,12.600,0.290,0.358,0.445,0.803
Duanel Jones,443.000,8.400,22.300,0.226,0.290,0.330,0.620
Dustin Biell,404.000,6.900,22.500,0.247,0.308,0.346,0.654
Dustin Garneau,417.000,13.900,16.800,0.255,0.370,0.513,0.883
Dustin Lawley,543.000,9.200,22.500,0.261,0.333,0.434,0.767
Dustin Peterson,564.000,4.400,24.300,0.233,0.274,0.361,0.634
Dusty Coleman,394.000,10.200,29.200,0.254,0.345,0.410,0.756
Dusty Ryan,375.000,11.700,27.200,0.245,0.344,0.354,0.698
Dwight Smith Jr.,479.000,10.900,17.100,0.284,0.365,0.388,0.753
Dylan Carlson,451.000,11.500,25.700,0.240,0.342,0.347,0.690
Dylan Cozens,556.000,7.200,26.400,0.248,0.303,0.415,0.717
Dylan Moore,414.000,13.000,18.600,0.244,0.372,0.394,0.766
Eddie Prasch,406.039,8.041,27.674,0.239,0.315,0.363,0.679
Eddie Rosario,429.000,7.200,16.100,0.296,0.345,0.490,0.835
Eddy Alvarez,410.000,16.800,16.600,0.285,0.408,0.409,0.818
Eddy Hernandez,436.000,6.000,31.000,0.243,0.296,0.355,0.651
Eddy Martinez,517.000,9.700,21.900,0.254,0.331,0.380,0.711
Edgar Duran,449.000,5.300,17.600,0.234,0.280,0.299,0.579
Edgar Lara,398.000,11.100,36.400,0.239,0.324,0.452,0.776
Edgardo Baez,395.000,7.600,20.300,0.279,0.336,0.403,0.739
Edilio Colina,471.000,6.200,11.500,0.291,0.348,0.381,0.729
Edinson Rincon,565.000,7.800,16.800,0.250,0.315,0.399,0.714
Edmundo Sosa,378.000,5.000,18.800,0.268,0.307,0.336,0.643
Eduard Pinto,397.000,8.600,5.300,0.261,0.329,0.341,0.670
Eduardo Escobar,514.000,5.600,17.700,0.256,0.300,0.328,0.627
Eduardo Perez,486.000,7.000,18.700,0.311,0.362,0.459,0.821
Edward Olivares,464.000,4.700,17.700,0.277,0.330,0.500,0.830
Edward Ovalle,529.000,4.900,22.900,0.261,0.324,0.378,0.702
Edward Salcedo,566.000,7.200,18.600,0.248,0.315,0.396,0.711
Edwin Espinal,510.000,5.300,13.900,0.283,0.327,0.385,0.713
Edwin Lora,436.000,6.900,25.900,0.231,0.297,0.370,0.667
Efren Navarro,385.000,10.900,17.100,0.269,0.352,0.341,0.694
Ehire Adrianza,448.000,9.400,14.700,0.258,0.333,0.327,0.660
Eli Iorg,516.000,6.400,23.100,0.256,0.313,0.437,0.750
Eli Tintor,436.000,4.400,22.000,0.285,0.320,0.429,0.749
Elier Hernandez,446.000,3.600,22.200,0.264,0.296,0.393,0.689
Elier Leyva,456.000,9.200,25.400,0.238,0.311,0.324,0.636
Eliezer Alvarez,499.000,10.600,19.200,0.323,0.404,0.476,0.879
Eliezer Mesa,529.000,7.400,17.200,0.302,0.357,0.420,0.777
Elijah Rumler,472.000,10.400,18.400,0.226,0.335,0.293,0.628
Elmer Reyes,416.000,3.600,15.400,0.251,0.296,0.391,0.686
Eloy Jimenez,464.000,5.400,20.300,0.329,0.369,0.532,0.901
Elvin Polanco,492.000,4.700,22.800,0.246,0.282,0.329,0.611
Elvis Andrus,478.000,7.500,19.000,0.265,0.324,0.362,0.685
Elvis Escobar,514.000,4.300,15.400,0.296,0.326,0.407,0.733
Elvis Rubio,506.000,5.700,18.800,0.237,0.301,0.322,0.623
Emilio Guerrero,391.000,10.000,14.800,0.277,0.355,0.402,0.757
Emilio King,385.000,3.400,21.000,0.293,0.332,0.439,0.772
Emmanuel Burriss,405.000,6.900,12.100,0.321,0.374,0.381,0.755
Emmanuel Marrero,460.000,7.000,18.300,0.248,0.305,0.318,0.623
Emmanuel Rivera,508.000,6.100,17.100,0.310,0.364,0.468,0.832
Emmanuel Tapia,505.000,6.900,35.600,0.213,0.271,0.445,0.716
Ender Inciarte,514.000,9.100,11.500,0.262,0.333,0.333,0.666
Engel Beltre,598.000,2.500,17.600,0.283,0.308,0.403,0.711
Engelb Vielma,459.000,6.100,15.500,0.266,0.313,0.323,0.636
Eric Aguilera,524.000,6.700,19.300,0.292,0.342,0.446,0.788
Eric Avila,419.000,6.400,13.600,0.216,0.275,0.289,0.565
Eric Campbell,441.629,8.141,14.290,0.274,0.340,0.446,0.787
Eric Eiland,377.000,11.700,18.800,0.232,0.329,0.303,0.632
Eric Eymann,482.000,7.300,19.700,0.238,0.302,0.355,0.657
Eric Farris,492.000,4.900,10.200,0.293,0.332,0.377,0.709
Eric Fryer,437.000,9.800,16.900,0.335,0.407,0.506,0.914
Eric Gutierrez,376.000,9.000,14.100,0.258,0.341,0.366,0.707
Eric Haase,420.000,9.500,27.900,0.250,0.322,0.439,0.761
Eric Jenkins,563.000,7.100,27.400,0.221,0.279,0.330,0.609
Eric King,455.000,7.900,12.300,0.244,0.309,0.320,0.628
Eric Marinez,456.000,8.600,18.900,0.278,0.341,0.359,0.699
Eric Taylor,517.945,9.026,16.500,0.258,0.342,0.381,0.724
Eric Wood,402.000,7.200,21.900,0.255,0.314,0.360,0.674
Eric Young Jr.,569.000,11.800,13.200,0.295,0.391,0.409,0.800
Erich Weiss,540.000,11.100,21.700,0.287,0.378,0.378,0.756
Erick Salcedo,468.000,6.800,12.200,0.239,0.295,0.265,0.560
Erik Gonzalez,383.000,6.300,18.500,0.259,0.307,0.439,0.747
Erik Huber,534.000,6.700,13.700,0.259,0.320,0.414,0.734
Erik Kanaby,513.000,10.900,10.500,0.272,0.351,0.306,0.657
Erik Lis,465.000,11.000,17.800,0.326,0.402,0.547,0.950
Erik Morrison,398.000,7.800,20.100,0.297,0.368,0.558,0.926
Estarlin Martinez,410.000,8.800,18.000,0.253,0.324,0.352,0.675
Estarlyn Morales,436.000,6.000,22.200,0.256,0.308,0.355,0.663
Estevan Florial,389.000,10.500,31.900,0.297,0.373,0.483,0.855
Eudor Garcia,429.000,5.100,22.100,0.296,0.340,0.442,0.783
Eudy Pina,523.000,10.900,23.500,0.233,0.334,0.396,0.730
Eugenio Suarez,604.000,10.800,19.200,0.288,0.380,0.409,0.789
Eugenio Velez,508.000,6.700,15.900,0.315,0.369,0.557,0.925
Eury Perez,491.000,4.700,15.100,0.299,0.345,0.381,0.726
Evan Chambers,520.000,17.700,22.300,0.239,0.384,0.386,0.770
Evan Crawford,477.000,7.300,22.600,0.255,0.319,0.366,0.684
Evan Van Hoosier,493.000,8.900,17.200,0.268,0.339,0.442,0.780
Everett Williams,447.000,11.400,29.300,0.244,0.333,0.372,0.704
Everth Cabrera,550.000,9.300,18.400,0.284,0.361,0.399,0.760
Felix Carrasco,450.000,13.100,36.000,0.237,0.339,0.402,0.741
Felix Munoz,560.000,10.200,13.200,0.300,0.368,0.476,0.844
Felix Sanchez,514.000,8.400,25.300,0.233,0.314,0.279,0.593
Fernando Cruz,407.000,5.200,14.500,0.221,0.265,0.271,0.536
Fernando Pacheco,380.000,7.900,22.900,0.237,0.314,0.386,0.700
Fernando Perez,507.000,4.900,20.900,0.284,0.322,0.454,0.776
Fernando Tatis Jr.,518.000,14.500,23.900,0.281,0.390,0.520,0.910
Fidel Hernandez,376.000,2.900,13.800,0.250,0.272,0.289,0.562
Fidel Pena,585.000,5.000,15.900,0.256,0.296,0.394,0.690
Flint Wipke,445.000,7.400,24.700,0.236,0.303,0.365,0.668
Forrest Wall,416.000,9.900,17.300,0.280,0.355,0.438,0.792
Franchy Cordero,524.000,5.900,23.100,0.243,0.293,0.306,0.598
Francisco Lindor,568.000,10.700,13.700,0.257,0.352,0.355,0.707
Francisco Mejia,446.000,8.500,17.500,0.243,0.324,0.345,0.670
Francisco Pena,412.942,5.948,20.704,0.238,0.286,0.333,0.620
Francisco Plasencia,588.000,11.200,21.100,0.261,0.354,0.371,0.724
Francisco Soriano,414.000,9.900,17.600,0.274,0.347,0.382,0.729
Francisco Sosa,531.000,10.700,23.500,0.315,0.397,0.529,0.926
Frandy De La Rosa,483.000,9.300,19.000,0.250,0.330,0.351,0.681
Frank Martinez,476.000,9.200,17.000,0.261,0.344,0.382,0.726
Frank Pfister,471.000,2.300,14.400,0.266,0.300,0.384,0.685
Frank Schwindel,428.000,4.000,15.900,0.286,0.313,0.515,0.828
Franklin Hernandez,485.000,4.700,23.700,0.225,0.269,0.344,0.612
Franmil Reyes,531.371,7.907,19.721,0.251,0.310,0.380,0.691
Frazier Hall,510.000,7.800,17.300,0.254,0.322,0.386,0.708
Fred Ford,438.926,10.489,33.867,0.199,0.292,0.356,0.648
Freddie Freeman,540.000,8.500,15.600,0.316,0.378,0.521,0.899
Freddy Galvis,523.000,7.500,11.100,0.238,0.300,0.288,0.588
Frederick Parejo,386.127,11.236,19.438,0.218,0.310,0.340,0.649
Gabe Jacobo,489.000,6.300,17.200,0.257,0.317,0.427,0.744
Gabriel Cancel,433.000,5.300,22.900,0.277,0.324,0.466,0.790
Gabriel Guerrero,499.000,4.200,22.600,0.271,0.303,0.358,0.661
Gabriel Lino,375.000,8.000,25.900,0.222,0.293,0.352,0.645
Gabriel Noriega,410.000,4.900,26.300,0.227,0.280,0.283,0.563
Garabez Rosa,478.000,1.500,23.800,0.251,0.271,0.362,0.632
Gareth Morgan,462.000,11.500,40.000,0.230,0.320,0.422,0.743
Garin Cecchini,526.000,11.600,17.100,0.305,0.394,0.433,0.827
Garrett Baker,486.000,6.800,18.300,0.264,0.329,0.414,0.743
Garrett Groce,505.000,8.700,23.400,0.263,0.335,0.350,0.685
Garrett Olson,457.000,4.400,16.600,0.219,0.281,0.310,0.591
Garrett Whitley,426.000,13.400,28.600,0.249,0.362,0.430,0.792
Gavin LaValley,530.000,9.400,21.500,0.267,0.343,0.358,0.702
Gavin Lux,501.000,11.200,17.600,0.244,0.331,0.362,0.693
Geoff Strickland,404.000,17.600,24.800,0.267,0.401,0.475,0.876
Gerard Hall,499.000,11.000,21.800,0.224,0.310,0.316,0.627
Gerardo Parra,488.000,6.100,10.500,0.320,0.370,0.435,0.804
Gerrion Grim,392.000,4.600,26.000,0.223,0.265,0.399,0.665
Geulin Beltre,515.000,6.600,17.900,0.264,0.317,0.340,0.657
Giancarlo Stanton,540.000,10.700,28.300,0.293,0.381,0.611,0.993
Gioskar Amaya,487.852,8.804,18.707,0.256,0.335,0.358,0.692
Giovanny Urshela,529.000,2.600,13.000,0.238,0.262,0.347,0.608
Gleyber Torres,514.000,8.400,21.000,0.293,0.353,0.386,0.739
Glynn Davis,465.000,11.000,19.600,0.252,0.342,0.302,0.644
Gorkys Hernandez,533.000,6.800,12.900,0.293,0.344,0.391,0.735
Gosuke Katoh,465.000,15.300,30.500,0.222,0.345,0.326,0.671
Grant Buckner,474.000,9.300,23.000,0.254,0.330,0.348,0.678
Grant Fink,474.000,12.900,36.700,0.225,0.326,0.374,0.700
Grant Hogue,454.000,5.700,12.800,0.285,0.355,0.325,0.680
Grant Kay,463.000,6.300,17.300,0.251,0.304,0.333,0.637
Grant Massey,441.000,5.400,19.300,0.257,0.301,0.327,0.628
Greg Allen,564.000,9.400,10.100,0.273,0.368,0.382,0.750
Greg Bird,573.000,18.700,23.000,0.288,0.428,0.511,0.938
Greg Buchanan,498.000,6.200,12.000,0.240,0.298,0.330,0.627
Greg Burns,431.337,9.088,27.051,0.258,0.329,0.370,0.699
Greg Dowling,535.989,7.410,14.204,0.266,0.327,0.405,0.732
Greg Folgia,389.000,9.000,22.600,0.230,0.307,0.344,0.651
Greg Golson,419.000,4.500,25.500,0.220,0.258,0.333,0.591
Greg Hopkins,437.330,4.360,18.433,0.248,0.287,0.364,0.650
Greg Miclat,454.000,9.300,17.400,0.228,0.299,0.273,0.571
Greg Pron,436.000,6.200,25.700,0.240,0.293,0.338,0.631
Greg Sexton,525.000,4.400,13.900,0.294,0.330,0.414,0.744
Greg Veloz,501.000,6.400,18.600,0.286,0.339,0.402,0.742
Gregory Lorenzo,520.558,4.992,26.822,0.252,0.298,0.328,0.626
Gregory Polanco,485.000,9.100,13.200,0.325,0.388,0.522,0.910
Gregory Thomson,414.000,7.200,15.900,0.277,0.349,0.395,0.744
Grenny Cumana,381.000,4.200,7.900,0.291,0.344,0.363,0.707
Guillermo Pimentel,398.000,4.800,28.900,0.245,0.289,0.366,0.655
Gus Milner,533.000,11.800,19.100,0.286,0.371,0.428,0.799
Gustavo Nunez,514.000,4.900,12.100,0.315,0.360,0.425,0.785
Habelito Hernandez,452.000,1.500,10.800,0.271,0.284,0.378,0.663
Hainley Statia,480.000,10.800,11.300,0.297,0.379,0.384,0.763
Hak-Ju Lee,551.000,8.900,15.600,0.282,0.354,0.351,0.704
Harold Garcia,502.000,5.800,19.900,0.291,0.350,0.414,0.765
Harold Riggins,379.000,9.800,27.400,0.302,0.388,0.546,0.934
Hector Estrella,373.000,8.800,14.200,0.302,0.368,0.416,0.784
Hector Gomez,578.000,5.000,20.800,0.266,0.309,0.421,0.730
Hector Pellot,453.131,8.678,21.852,0.234,0.320,0.324,0.644
Hector Vargas,473.000,4.000,14.000,0.225,0.260,0.309,0.569
Helder Velazquez,462.786,4.126,20.288,0.252,0.297,0.394,0.691
Henry Alejandro Rodriguez,547.000,4.000,12.800,0.307,0.337,0.473,0.810
Henry Ramos,494.000,8.900,20.400,0.254,0.327,0.381,0.708
Henry Wrigley,437.000,5.500,14.200,0.250,0.292,0.384,0.676
Herlis Rodriguez,496.000,5.600,14.300,0.294,0.339,0.425,0.764
Hernan Perez,538.122,5.849,17.243,0.247,0.295,0.333,0.627
Hilton Richardson,407.000,8.100,19.400,0.204,0.272,0.316,0.588
Hoy Jun Park,517.000,13.000,23.200,0.225,0.336,0.329,0.665
Hudson Potts,522.000,4.400,26.800,0.253,0.293,0.438,0.731
Humberto Arteaga,483.000,3.500,23.000,0.198,0.231,0.249,0.480
Hunter Mense,474.000,6.500,19.000,0.289,0.347,0.442,0.789
Ian Gac,561.000,8.000,22.100,0.276,0.337,0.462,0.799
Ian Sagdal,454.000,7.900,19.800,0.303,0.362,0.474,0.836
Ildemaro Vargas,429.548,7.728,7.657,0.281,0.341,0.365,0.706
Isaac Ballou,441.000,10.700,14.700,0.271,0.370,0.419,0.790
Isaac Galloway,454.000,3.100,26.200,0.241,0.269,0.418,0.687
Isaac Omura,395.000,8.100,12.400,0.296,0.354,0.399,0.753
Isaac Paredes,517.000,8.100,13.000,0.252,0.338,0.387,0.725
Isael Soto,448.000,9.600,25.700,0.247,0.320,0.399,0.719
Isaias Velasquez,478.000,7.500,15.500,0.278,0.342,0.390,0.733
Isan Diaz,587.000,12.300,25.200,0.264,0.358,0.469,0.827
Isiah Gilliam,511.000,10.800,21.700,0.275,0.356,0.468,0.825
Ivan De Jesus Jr.,563.000,11.200,15.100,0.277,0.361,0.327,0.688
J.B. Woodman,414.000,9.700,37.900,0.240,0.320,0.378,0.699
J.C. Rodriguez,492.788,8.074,18.557,0.245,0.308,0.344,0.652
J.D. Martinez,393.000,8.400,14.000,0.362,0.433,0.598,1.030
J.D. Williams,407.000,9.600,28.300,0.234,0.311,0.340,0.651
J.J. Fernandez,485.000,7.400,23.700,0.225,0.293,0.363,0.656
J.P. Ramirez,551.000,4.500,15.100,0.296,0.341,0.470,0.812
J.T. Hall,465.000,6.700,19.800,0.274,0.336,0.421,0.757
J.T. Realmuto,381.000,6.800,20.500,0.287,0.347,0.454,0.801
JT Riddle,477.000,5.500,11.500,0.280,0.323,0.400,0.723
JaCoby Jones,501.000,6.600,26.300,0.288,0.347,0.503,0.851
JaVon Shelby,422.000,9.700,38.900,0.198,0.283,0.299,0.582
Jabari Blash,471.000,12.700,28.500,0.245,0.355,0.433,0.787
Jace Peterson,521.000,11.900,12.100,0.286,0.378,0.392,0.770
Jack Reinheimer,488.000,8.000,15.600,0.264,0.333,0.335,0.668
Jack Suwinski,532.000,10.300,26.100,0.227,0.319,0.348,0.667
Jacob Butler,429.000,10.000,25.600,0.251,0.332,0.405,0.737
Jacob Hannemann,386.000,8.000,19.900,0.254,0.321,0.377,0.698
Jacob Heyward,412.000,10.200,26.700,0.223,0.317,0.351,0.668
Jacob Morris,561.000,10.200,31.900,0.220,0.307,0.349,0.657
Jacob Rogers,518.000,12.400,22.400,0.268,0.361,0.445,0.806
Jacob Scavuzzo,444.000,7.200,28.400,0.209,0.277,0.311,0.588
Jacob Wilson,409.000,9.800,13.200,0.264,0.350,0.468,0.818
Jaff Decker,455.000,18.700,20.200,0.299,0.442,0.514,0.956
Jahmai Jones,387.000,8.300,16.300,0.272,0.338,0.425,0.763
Jaime Pedroza,609.000,12.800,26.600,0.260,0.361,0.433,0.793
Jairo Beras,427.000,7.700,31.100,0.242,0.305,0.342,0.647
Jairo De La Rosa,435.000,4.800,28.500,0.211,0.253,0.312,0.564
Jake Bauers,467.000,10.900,17.100,0.296,0.376,0.414,0.789
Jake Blackwood,514.000,3.300,10.300,0.245,0.272,0.363,0.636
Jake Cave,520.000,7.700,21.200,0.282,0.347,0.401,0.748
Jake Cronenworth,380.000,14.200,15.000,0.322,0.429,0.436,0.865
