Name,PA,BB%,K%,AVG,OBP,SLG,OPS
Skye Bolt,402.000,10.400,21.900,0.231,0.318,0.345,0.663
Skyler Ewing,535.000,10.500,20.200,0.231,0.321,0.325,0.647
Socrates Brito,566.000,6.500,21.900,0.264,0.313,0.356,0.669
Spike McDougall,525.000,12.000,27.200,0.262,0.364,0.475,0.839
Stefan Gartrell,383.000,9.700,20.100,0.301,0.374,0.484,0.858
Stefan Sabol,403.022,12.794,27.463,0.201,0.306,0.342,0.649
Stefan Trosclair,481.000,11.600,23.100,0.272,0.374,0.458,0.832
Stefen Romero,478.000,6.700,14.400,0.280,0.342,0.462,0.803
Steffan Wilson,539.000,8.500,18.200,0.289,0.350,0.482,0.833
Stephen Chapman,511.000,7.000,26.800,0.262,0.326,0.501,0.827
Stephen McGee,379.000,13.200,21.100,0.217,0.337,0.281,0.618
Stephen Perez,486.000,8.200,22.000,0.236,0.303,0.326,0.630
Stephen Vogt,448.000,10.500,10.700,0.291,0.368,0.408,0.776
Steve Brown,375.000,5.900,26.100,0.212,0.277,0.356,0.633
Steve Bumbry,421.000,9.000,31.100,0.263,0.337,0.406,0.743
Steve Kleen,532.000,9.000,16.400,0.281,0.362,0.382,0.744
Steve Laurino,378.000,11.100,22.200,0.188,0.286,0.267,0.552
Steve Lombardozzi,576.000,10.800,13.900,0.296,0.375,0.395,0.771
Steve Mena,483.320,9.297,25.152,0.258,0.341,0.401,0.741
Steve Singleton,391.000,2.000,12.000,0.271,0.294,0.346,0.640
Steve Wilkerson,401.000,11.200,20.900,0.287,0.376,0.371,0.747
Steven Lerud,446.000,9.000,32.700,0.239,0.330,0.402,0.732
Steven Liddle,493.000,10.100,16.200,0.253,0.332,0.398,0.730
Steven Souza Jr.,514.000,10.500,22.600,0.237,0.325,0.318,0.643
Steven Tinoco,430.000,8.800,12.300,0.277,0.361,0.325,0.686
Sthervin Matos,466.000,9.000,25.800,0.224,0.301,0.339,0.640
Stryker Trahan,407.000,7.400,35.900,0.198,0.264,0.367,0.630
Stuart Musslewhite,453.000,6.600,14.100,0.237,0.298,0.318,0.616
T.J. Baxter,459.000,8.900,25.700,0.243,0.318,0.361,0.679
T.J. Mittelstaedt,465.000,16.300,24.900,0.293,0.410,0.443,0.853
