Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Mickey Wiswall,546.000,4.600,19.000,0.240,0.281,0.340,0.621,0.000
Miguel Abreu,508.000,1.800,12.600,0.267,0.285,0.426,0.711,0.000
Miguel Andujar,527.000,6.600,15.700,0.267,0.318,0.397,0.715,0.000
Miguel Mercedes,493.000,6.300,25.600,0.230,0.286,0.394,0.680,0.000
Miguel Rojas,527.000,6.600,8.300,0.273,0.326,0.339,0.665,1.000
Miguel Sano,553.000,14.500,26.000,0.258,0.373,0.521,0.893,1.000
Miguel Vega,446.000,2.900,27.100,0.248,0.271,0.387,0.659,0.000
Mike Baxter,517.000,6.000,12.800,0.256,0.304,0.363,0.668,0.000
Mike Bell,487.000,8.600,14.800,0.277,0.346,0.458,0.805,0.000
Mike Conroy,503.000,8.700,26.600,0.228,0.298,0.367,0.665,0.000
Mike Fish,469.000,6.400,16.600,0.252,0.306,0.402,0.708,0.000
Mike Ford,381.000,12.600,10.200,0.283,0.381,0.443,0.824,0.000
Mike Gerber,583.000,8.400,16.600,0.292,0.355,0.468,0.822,0.000
Mike Gilmartin,485.000,9.500,24.300,0.245,0.326,0.371,0.697,0.000
Mike Gonzales,430.259,10.488,25.014,0.266,0.350,0.455,0.805,0.000
Mike Grace,475.000,7.400,22.900,0.252,0.311,0.391,0.702,0.000
Mike Hernandez,377.000,5.000,18.000,0.278,0.318,0.461,0.780,0.000
Mike Kvasnicka,536.000,8.600,19.800,0.260,0.328,0.368,0.696,0.000
Mike Marjama,407.000,4.900,16.500,0.277,0.323,0.384,0.707,0.000
Mike McBryde,457.000,5.900,21.900,0.276,0.328,0.386,0.714,0.000
Mike McDade,447.000,7.200,24.400,0.277,0.336,0.466,0.801,0.000
Mike Meyers,386.000,9.300,28.000,0.296,0.364,0.426,0.790,0.000
Mike Mooney,557.000,7.900,20.600,0.287,0.355,0.439,0.795,0.000
Mike Moustakas,549.000,7.800,15.700,0.272,0.337,0.468,0.805,1.000
Mike Ohlman,431.000,11.100,22.300,0.224,0.320,0.307,0.627,0.000
Mike Paulk,507.560,10.854,15.297,0.278,0.358,0.393,0.751,0.000
Mike Planeta,443.747,3.614,25.118,0.223,0.258,0.283,0.541,0.000
Mike Walker,440.000,13.600,27.300,0.274,0.387,0.455,0.842,0.000
Miles Mastrobuoni,439.000,11.600,15.000,0.264,0.346,0.348,0.695,0.000
Milton Ramos,395.205,6.336,21.898,0.226,0.283,0.286,0.568,0.000
Mitch Delfino,522.000,6.700,14.600,0.270,0.324,0.413,0.737,0.000
Mitch Dening,437.000,8.900,21.700,0.261,0.333,0.361,0.693,0.000
Mitch Einertson,469.000,6.600,16.400,0.211,0.276,0.359,0.635,0.000
Mitch Garver,504.000,12.100,12.900,0.298,0.399,0.481,0.880,0.000
Mitch Hilligoss,559.000,5.900,11.600,0.310,0.352,0.415,0.767,0.000
Mitch Moreland,533.000,11.300,12.600,0.324,0.400,0.536,0.936,1.000
Mitch Nay,518.000,7.500,15.300,0.285,0.342,0.389,0.731,0.000
Mitch Roman,564.000,5.500,21.300,0.254,0.305,0.306,0.611,0.000
