Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
A.J. Pollock,471.000,6.800,11.000,0.620,0.318,0.369,0.411,0.780
A.J. Reed,556.000,12.900,26.300,0.490,0.261,0.358,0.525,0.883
Aaron Bates,461.733,12.221,22.755,0.541,0.275,0.370,0.401,0.771
Aaron Cunningham,486.000,10.300,17.300,0.600,0.247,0.337,0.401,0.738
Aaron Herr,555.000,7.000,25.900,0.270,0.274,0.328,0.467,0.795
Aaron Judge,410.000,11.500,23.900,0.480,0.270,0.366,0.489,0.854
Aaron Mathews,567.000,6.500,8.600,0.760,0.274,0.321,0.380,0.702
Abraham Almonte,396.000,12.400,16.700,0.740,0.314,0.403,0.491,0.894
Abraham M. Nunez,455.000,7.300,24.200,0.300,0.278,0.333,0.461,0.794
Abraham O. Nunez,388.000,14.400,14.400,1.000,0.211,0.332,0.266,0.598
Adam Brett Walker,531.000,8.300,38.000,0.220,0.243,0.305,0.479,0.784
Adam Duvall,479.056,6.501,20.974,0.312,0.278,0.332,0.548,0.880
Adam Eaton,562.000,9.400,12.100,0.780,0.381,0.456,0.539,0.995
Adam Heether,442.505,13.429,18.255,0.734,0.269,0.381,0.445,0.826
Adam Hyzdu,524.000,14.100,19.500,0.730,0.271,0.370,0.476,0.846
Adam Jones,444.087,7.230,20.814,0.349,0.301,0.365,0.538,0.902
Adam Loewen,585.000,10.400,23.200,0.450,0.306,0.377,0.508,0.884
Adam Pavkovich,470.188,7.041,18.791,0.383,0.262,0.317,0.429,0.746
Adam Rosales,473.000,4.700,17.300,0.270,0.287,0.339,0.463,0.802
Adam Stern,421.000,5.500,18.500,0.290,0.258,0.300,0.388,0.688
Adeiny Hechavarria,490.000,7.800,17.600,0.440,0.312,0.363,0.424,0.788
Adrian Cardenas,545.000,8.600,10.300,0.840,0.314,0.374,0.418,0.791
Adron Chambers,442.506,10.901,18.680,0.585,0.283,0.371,0.403,0.774
Alberto Callaspo,554.000,10.100,4.900,2.070,0.337,0.404,0.478,0.882
Alberto Gonzalez,426.000,5.600,11.500,0.490,0.247,0.300,0.362,0.662
Alcides Escobar,487.000,6.600,13.300,0.490,0.298,0.353,0.409,0.762
Alden Carrithers,457.000,12.000,9.800,1.220,0.284,0.381,0.349,0.729
Alejandro De Aza,435.000,7.600,16.600,0.460,0.322,0.378,0.494,0.871
Alejandro Machado,438.000,11.900,11.600,1.020,0.260,0.356,0.346,0.702
Alen Hanson,504.791,6.858,16.773,0.410,0.264,0.315,0.388,0.704
Alex Castellanos,419.263,9.883,23.974,0.422,0.286,0.372,0.498,0.870
Alex Dickerson,519.000,8.700,18.500,0.470,0.307,0.374,0.503,0.877
Alex Hassan,474.000,12.700,23.000,0.550,0.287,0.378,0.426,0.804
Alex Liddi,562.779,8.384,28.629,0.301,0.253,0.318,0.460,0.779
Alex Presley,391.000,10.200,14.300,0.710,0.298,0.376,0.427,0.803
Alex Romero,584.000,6.300,9.100,0.700,0.310,0.354,0.421,0.775
Alex Verdugo,495.000,10.500,10.100,1.040,0.314,0.389,0.436,0.825
Alex Yarbrough,545.000,4.800,25.000,0.190,0.236,0.274,0.324,0.598
Alexi Amarista,396.000,5.600,14.100,0.390,0.292,0.337,0.419,0.755
Alfredo Amezaga,439.000,8.400,13.700,0.620,0.274,0.336,0.372,0.707
Allan Dykstra,439.000,19.100,22.100,0.870,0.280,0.426,0.504,0.930
Allen Craig,468.089,9.355,17.896,0.524,0.301,0.371,0.462,0.833
Amed Rosario,425.000,5.400,15.800,0.340,0.328,0.367,0.466,0.833
Anderson Hernandez,518.625,6.340,15.053,0.429,0.266,0.314,0.350,0.664
Andres Blanco,461.000,8.500,16.700,0.510,0.235,0.301,0.346,0.648
Andres Torres,449.291,11.639,21.268,0.544,0.274,0.364,0.432,0.797
Andrew Aplin,447.000,9.400,21.900,0.430,0.223,0.300,0.318,0.619
Andrew Beattie,491.000,8.100,17.700,0.460,0.296,0.352,0.448,0.800
Andrew Brown,437.457,11.055,22.233,0.500,0.292,0.373,0.539,0.912
Andrew Knapp,443.000,8.400,24.200,0.350,0.266,0.330,0.390,0.719
Andrew McCutchen,590.000,11.500,14.700,0.780,0.283,0.372,0.398,0.770
Andrew Romine,427.283,10.300,18.146,0.574,0.284,0.365,0.368,0.733
Andy Burns,493.216,7.246,15.414,0.481,0.264,0.320,0.363,0.683
Andy Cannizaro,487.000,10.500,12.100,0.860,0.276,0.367,0.380,0.746
Andy Gonzalez,434.942,10.886,18.053,0.605,0.265,0.353,0.371,0.724
Andy Green,527.000,12.900,15.000,0.860,0.273,0.375,0.436,0.811
Andy LaRoche,413.000,9.000,13.300,0.670,0.271,0.339,0.433,0.772
Andy Marte,472.645,8.830,15.491,0.621,0.300,0.360,0.497,0.857
Andy Parrino,453.131,9.986,23.392,0.425,0.244,0.328,0.346,0.674
Andy Tracy,532.486,13.737,20.227,0.683,0.265,0.368,0.480,0.848
Andy Wilkins,513.499,7.902,18.023,0.433,0.273,0.327,0.504,0.831
Angel Chavez,470.513,5.535,13.287,0.424,0.278,0.321,0.395,0.715
Angel Sanchez,458.451,8.757,10.162,1.029,0.312,0.375,0.419,0.794
Angelys Nina,434.860,5.191,12.680,0.422,0.290,0.327,0.399,0.725
Anthony Contreras,423.000,2.800,14.400,0.200,0.280,0.300,0.415,0.715
Anthony Gose,465.622,9.381,23.890,0.403,0.263,0.342,0.379,0.721
Anthony Recker,412.000,13.600,19.700,0.690,0.287,0.388,0.501,0.889
Anthony Rizzo,413.000,10.400,21.500,0.480,0.331,0.404,0.652,1.056
Anthony Seratelli,464.244,13.050,18.686,0.727,0.285,0.385,0.450,0.835
Argenis Diaz,463.022,8.903,19.137,0.487,0.265,0.332,0.343,0.675
Argenis Reyes,416.000,7.000,11.100,0.630,0.282,0.336,0.377,0.713
Arismendy Alcantara,468.337,6.861,26.122,0.266,0.252,0.304,0.426,0.729
Asdrubal Cabrera,444.000,7.200,20.300,0.360,0.249,0.310,0.349,0.658
Audy Ciriaco,413.000,7.300,20.100,0.360,0.255,0.312,0.458,0.771
Austin Barnes,385.000,11.200,13.800,0.810,0.295,0.380,0.443,0.824
Austin Jackson,557.000,7.200,22.100,0.330,0.300,0.354,0.405,0.759
Austin Nola,407.000,5.900,13.800,0.430,0.261,0.308,0.376,0.685
Austin Wates,452.000,11.500,14.800,0.780,0.286,0.374,0.367,0.741
Balbino Fuenmayor,381.000,4.500,20.200,0.220,0.291,0.325,0.405,0.730
Barbaro Canizares,535.761,8.442,11.893,0.713,0.310,0.373,0.455,0.827
Ben Copeland,419.000,13.600,16.000,0.850,0.280,0.378,0.404,0.782
Ben Francisco,513.811,8.096,13.712,0.596,0.295,0.361,0.472,0.832
Ben Gamel,542.149,8.202,18.617,0.445,0.304,0.361,0.446,0.808
Ben Guez,480.675,10.283,27.589,0.378,0.236,0.335,0.424,0.758
Ben Paulsen,499.513,9.539,24.704,0.389,0.293,0.361,0.528,0.889
Bernie Castro,481.000,7.700,13.300,0.580,0.280,0.335,0.362,0.698
Billy Burns,414.000,10.600,14.500,0.730,0.285,0.369,0.328,0.696
Billy Hamilton,547.000,6.900,18.600,0.370,0.256,0.308,0.343,0.651
Blake Davis,390.000,6.400,15.600,0.410,0.251,0.299,0.346,0.646
Blake DeWitt,407.000,11.800,10.800,1.090,0.256,0.349,0.426,0.775
Bobby Scales,460.635,12.270,19.675,0.645,0.293,0.389,0.469,0.858
Brad Coon,468.357,11.857,13.838,0.860,0.289,0.385,0.364,0.749
Brad Eldred,429.521,7.306,26.479,0.282,0.263,0.331,0.535,0.866
Brad Nelson,516.535,11.199,18.430,0.634,0.274,0.355,0.477,0.831
Brad Snyder,457.844,8.392,25.789,0.332,0.292,0.353,0.503,0.856
Brandon Allen,460.791,13.884,20.408,0.676,0.274,0.378,0.514,0.891
Brandon Barnes,451.000,6.900,25.300,0.270,0.276,0.331,0.420,0.751
Brandon Boggs,450.982,13.939,24.246,0.583,0.262,0.368,0.406,0.774
Brandon Dixon,491.000,7.500,25.500,0.300,0.264,0.327,0.457,0.783
Brandon Guyer,424.851,7.566,16.606,0.454,0.307,0.379,0.491,0.870
Brandon Hicks,407.000,10.100,33.700,0.300,0.252,0.333,0.446,0.779
Brandon Jones,420.816,11.442,18.144,0.636,0.271,0.352,0.412,0.764
Brandon Laird,515.465,5.557,17.994,0.304,0.272,0.317,0.443,0.761
Brandon Larson,422.000,9.000,23.900,0.380,0.268,0.336,0.476,0.813
Brandon Moss,541.427,10.205,24.245,0.418,0.274,0.353,0.483,0.836
Brandon Nimmo,444.000,10.400,16.400,0.630,0.352,0.423,0.541,0.964
Brandon Snyder,490.033,8.583,22.219,0.380,0.262,0.334,0.448,0.781
Brandon Watson,508.763,5.068,8.822,0.640,0.299,0.336,0.380,0.716
Brandon Wood,451.651,8.528,22.243,0.387,0.280,0.345,0.514,0.859
Brendan Harris,479.862,9.140,15.303,0.667,0.275,0.349,0.423,0.773
Brendan Katin,456.602,8.211,28.378,0.306,0.262,0.339,0.534,0.873
Brendan Ryan,408.000,11.000,18.100,0.610,0.236,0.323,0.326,0.649
Brennan Boesch,407.000,7.100,21.100,0.340,0.332,0.381,0.636,1.017
Brennan King,459.965,6.516,15.901,0.420,0.270,0.321,0.410,0.731
Brent Abernathy,451.137,8.369,10.632,0.807,0.278,0.339,0.348,0.687
Brent Butler,473.000,4.900,9.500,0.510,0.269,0.306,0.355,0.661
Brent Clevlen,535.538,8.959,28.469,0.315,0.272,0.343,0.469,0.811
Brent Dlugach,501.044,6.388,28.579,0.227,0.277,0.327,0.404,0.731
Brent Lillibridge,403.000,8.200,22.300,0.370,0.220,0.294,0.344,0.638
Brent Morel,462.216,8.455,21.774,0.383,0.276,0.343,0.426,0.768
Brett Carroll,447.886,9.641,21.330,0.450,0.261,0.339,0.428,0.767
Brett Eibner,431.000,8.800,18.300,0.480,0.303,0.364,0.514,0.878
Brett Gardner,426.000,16.400,17.800,0.920,0.296,0.414,0.422,0.837
Brett Harper,423.000,6.100,11.300,0.540,0.292,0.333,0.508,0.841
Brett Jackson,467.000,10.100,33.800,0.300,0.256,0.338,0.479,0.817
Brett Nicholas,459.836,6.697,20.265,0.334,0.277,0.329,0.419,0.748
Brett Phillips,432.000,10.400,29.900,0.350,0.305,0.377,0.567,0.944
Brett Pill,571.535,4.796,10.442,0.460,0.294,0.330,0.482,0.812
Brett Wallace,468.773,7.185,21.250,0.340,0.293,0.354,0.462,0.816
Breyvic Valera,470.000,8.100,7.200,1.120,0.314,0.368,0.450,0.819
Brian Barden,476.428,8.442,15.871,0.536,0.282,0.351,0.411,0.762
Brian Barton,458.000,10.700,24.000,0.450,0.254,0.344,0.370,0.715
Brian Bixler,480.577,8.400,24.083,0.354,0.278,0.354,0.408,0.762
Brian Bocock,439.000,11.200,20.000,0.560,0.226,0.313,0.303,0.615
Brian Bogusevic,558.594,9.810,19.322,0.508,0.281,0.355,0.400,0.755
Brian Dinkelman,560.948,8.706,17.170,0.506,0.255,0.327,0.353,0.680
Brian Goodwin,492.000,9.300,21.500,0.430,0.280,0.349,0.438,0.787
Brian Myrow,426.521,15.775,16.935,0.940,0.325,0.436,0.524,0.960
Brock Bond,445.798,12.973,11.780,1.104,0.306,0.408,0.384,0.792
Brock Peterson,495.723,9.591,23.618,0.406,0.280,0.358,0.483,0.841
Brock Stassi,442.000,13.600,17.200,0.790,0.267,0.369,0.437,0.806
Bronson Sardinha,439.000,10.500,17.500,0.600,0.222,0.306,0.387,0.693
Brooks Conrad,553.459,9.856,23.462,0.421,0.248,0.326,0.472,0.798
Bryan Anderson,392.000,9.200,22.700,0.400,0.225,0.302,0.317,0.619
Bryan LaHair,533.467,9.696,21.108,0.461,0.300,0.367,0.541,0.908
Bryan Petersen,542.817,10.179,24.885,0.439,0.264,0.344,0.412,0.756
Bryce Brentz,494.000,8.500,22.100,0.390,0.271,0.334,0.529,0.863
Bubba Bell,401.000,10.200,15.500,0.660,0.293,0.366,0.399,0.765
Buck Britton,415.000,6.500,12.500,0.520,0.262,0.311,0.374,0.685
Buck Coats,501.763,8.002,15.325,0.539,0.294,0.352,0.407,0.759
ByungHo Park,455.000,6.200,28.600,0.220,0.253,0.308,0.415,0.723
Caleb Gindl,487.474,9.821,19.343,0.520,0.269,0.342,0.422,0.764
Caleb Ramsey,468.000,7.700,18.200,0.420,0.265,0.320,0.361,0.681
Callix Crabbe,541.000,12.400,12.900,0.960,0.287,0.377,0.435,0.813
Cameron Perkins,433.000,4.800,13.600,0.360,0.292,0.329,0.419,0.748
Carlos Asuaje,597.000,8.200,13.700,0.600,0.321,0.378,0.473,0.851
Carlos Maldonado,384.000,9.400,17.400,0.540,0.283,0.354,0.390,0.743
Carlos Moncrief,530.000,7.200,24.500,0.290,0.271,0.328,0.431,0.759
Carlos Peguero,465.600,9.432,31.851,0.297,0.263,0.334,0.507,0.840
Carlos Pena,506.000,13.400,18.600,0.720,0.278,0.383,0.490,0.874
Carlos Quentin,396.000,11.400,11.600,0.980,0.289,0.424,0.487,0.912
Carlos Rivera,451.000,4.000,11.300,0.350,0.325,0.358,0.454,0.811
Carlos Rivero,478.745,6.180,18.826,0.331,0.278,0.321,0.423,0.744
Carlos Ruiz,423.000,9.900,13.200,0.750,0.307,0.389,0.505,0.894
Carlos Sanchez,486.616,6.709,16.458,0.405,0.267,0.321,0.355,0.676
Carlos Triunfel,459.744,3.177,17.420,0.184,0.272,0.311,0.392,0.703
Carter Jurica,404.000,9.400,20.800,0.450,0.249,0.328,0.318,0.647
Casey Gillaspie,515.000,9.700,19.400,0.500,0.223,0.297,0.373,0.670
Casey McGehee,527.294,7.552,14.718,0.520,0.297,0.350,0.425,0.776
Casey Rogowski,508.850,10.897,20.846,0.529,0.264,0.349,0.427,0.775
Casey Smith,433.501,5.649,12.800,0.445,0.285,0.328,0.395,0.723
Casper Wells,430.000,7.900,25.800,0.310,0.233,0.309,0.483,0.793
Cedric Hunter,469.222,8.422,11.844,0.737,0.276,0.342,0.400,0.741
Cesar Crespo,444.852,10.588,17.400,0.610,0.241,0.322,0.319,0.642
Cesar Hernandez,440.000,9.300,18.400,0.510,0.309,0.375,0.402,0.776
Chad Allen,450.000,7.100,13.300,0.530,0.314,0.364,0.496,0.861
Chad Hermansen,439.000,8.700,25.500,0.340,0.281,0.347,0.429,0.776
Chad Huffman,499.034,11.373,20.018,0.573,0.268,0.363,0.452,0.815
Chad Mottola,454.220,6.940,19.951,0.354,0.266,0.319,0.457,0.776
Chad Pinder,465.000,5.400,23.200,0.230,0.258,0.310,0.425,0.735
Chad Tracy,554.916,8.059,19.654,0.426,0.264,0.332,0.456,0.788
Chance Sisco,388.000,8.200,25.500,0.320,0.267,0.340,0.395,0.736
Charles Thomas,434.000,8.800,17.700,0.490,0.274,0.350,0.376,0.726
Charlie Culberson,451.172,4.779,17.602,0.273,0.274,0.311,0.427,0.737
Charlie Tilson,395.000,8.400,12.900,0.650,0.282,0.345,0.407,0.753
Charlton Jimerson,501.000,4.600,36.500,0.130,0.247,0.287,0.445,0.732
Chase Lambin,539.634,8.348,21.862,0.380,0.263,0.335,0.399,0.735
Chase d'Arnaud,467.813,6.666,17.303,0.389,0.258,0.318,0.364,0.682
Che-Hsuan Lin,439.082,11.619,13.762,0.857,0.241,0.339,0.313,0.651
Cheslor Cuthbert,438.000,8.400,13.700,0.620,0.277,0.339,0.421,0.759
Chesny Young,475.000,6.900,14.700,0.470,0.256,0.311,0.311,0.622
Chin-lung Hu,544.000,4.600,9.900,0.460,0.294,0.332,0.393,0.725
Chip Ambres,499.587,11.504,18.678,0.609,0.271,0.357,0.469,0.826
Choo Freeman,459.000,11.100,20.000,0.550,0.270,0.355,0.395,0.750
Chris Aguila,471.619,10.214,23.859,0.436,0.291,0.369,0.539,0.908
Chris Barnwell,474.169,7.586,13.867,0.550,0.283,0.352,0.387,0.739
Chris Basak,417.000,9.400,18.200,0.510,0.267,0.345,0.407,0.752
Chris Carter,554.536,10.472,15.569,0.717,0.294,0.371,0.500,0.871
Chris Colabello,441.842,11.553,23.132,0.497,0.298,0.384,0.504,0.889
Chris Davis,445.000,8.300,23.600,0.350,0.327,0.383,0.520,0.903
Chris Denorfia,474.000,6.500,11.000,0.600,0.271,0.317,0.398,0.715
Chris Dickerson,415.002,12.749,28.058,0.465,0.273,0.372,0.457,0.829
Chris Dominguez,477.208,3.989,25.393,0.160,0.284,0.321,0.457,0.777
Chris Frey,451.000,4.900,11.800,0.420,0.290,0.323,0.394,0.717
Chris Getz,457.000,9.000,11.600,0.770,0.302,0.366,0.448,0.814
Chris Heintz,406.000,5.700,15.500,0.370,0.286,0.323,0.369,0.692
Chris Johnson,412.000,5.100,21.800,0.230,0.281,0.323,0.461,0.784
Chris Lubanski,420.771,9.322,26.685,0.357,0.266,0.332,0.491,0.823
Chris Marrero,517.242,9.098,16.175,0.561,0.286,0.351,0.451,0.803
Chris McGuiness,464.018,14.173,17.057,0.838,0.256,0.363,0.417,0.780
Chris Owings,575.000,3.800,17.200,0.220,0.330,0.359,0.482,0.841
Chris Pettit,415.000,7.500,14.900,0.500,0.321,0.383,0.482,0.865
Chris Rahl,419.000,2.400,23.200,0.100,0.293,0.308,0.431,0.739
Chris Richard,460.185,11.776,20.806,0.574,0.278,0.375,0.514,0.890
Chris Roberson,487.608,7.048,12.375,0.566,0.269,0.323,0.374,0.697
Chris Shelton,539.981,13.247,21.265,0.625,0.289,0.388,0.459,0.847
Chris Taylor,396.000,12.600,15.400,0.820,0.300,0.391,0.429,0.820
Chris Valaika,427.491,5.097,16.973,0.299,0.271,0.312,0.383,0.695
Chris Woodward,461.139,8.546,15.490,0.555,0.265,0.328,0.403,0.731
Chris Young,466.000,11.200,15.200,0.730,0.276,0.363,0.532,0.896
Christian Colon,501.008,7.341,8.935,0.845,0.288,0.347,0.401,0.748
Christian Colonel,455.790,8.031,13.510,0.593,0.294,0.354,0.433,0.787
Christian Lopes,384.000,11.200,13.500,0.830,0.261,0.349,0.402,0.751
Christian Villanueva,482.516,8.127,16.927,0.478,0.276,0.339,0.480,0.819
Christian Walker,579.281,8.632,21.794,0.416,0.277,0.343,0.487,0.830
Christopher Bostick,549.000,8.200,17.700,0.460,0.294,0.362,0.418,0.779
Chun-Hsiu Chen,395.000,9.400,26.600,0.350,0.223,0.302,0.349,0.651
Cito Culver,389.000,8.000,28.300,0.280,0.223,0.282,0.398,0.681
Clay Timpner,451.314,7.578,13.253,0.572,0.265,0.324,0.363,0.687
Clete Thomas,416.240,7.081,28.723,0.250,0.241,0.297,0.403,0.700
Cliff Pennington,417.000,10.800,12.900,0.830,0.264,0.345,0.367,0.712
Clint Barmes,477.000,4.600,10.900,0.420,0.299,0.364,0.451,0.815
Clint Robinson,536.568,11.513,16.745,0.766,0.294,0.378,0.486,0.865
Cody Asche,446.000,7.800,21.300,0.370,0.295,0.352,0.485,0.837
Cody Decker,469.754,10.000,27.591,0.363,0.257,0.336,0.502,0.839
Cody Overbeck,491.684,6.819,25.738,0.276,0.252,0.307,0.429,0.736
Cody Ransom,477.157,10.609,23.354,0.458,0.267,0.349,0.509,0.859
Colby Rasmus,387.000,12.700,18.600,0.680,0.251,0.346,0.396,0.742
Cole Figueroa,520.325,9.418,5.454,1.717,0.289,0.358,0.363,0.720
Cole Garner,469.000,8.300,19.000,0.440,0.304,0.374,0.520,0.894
Cole Gillespie,519.349,12.877,16.765,0.776,0.292,0.388,0.478,0.867
Colin Moran,511.000,9.200,24.300,0.380,0.259,0.329,0.368,0.697
Collin Cowgill,432.891,9.879,17.148,0.617,0.297,0.374,0.444,0.818
Conor Gillaspie,484.746,11.034,13.730,0.802,0.289,0.368,0.447,0.815
Cord Phelps,479.091,12.160,17.281,0.718,0.265,0.356,0.408,0.764
Corey Brown,479.054,9.661,29.006,0.336,0.254,0.331,0.469,0.800
Corey Patterson,404.485,4.421,20.776,0.211,0.272,0.310,0.445,0.755
Corey Seager,464.000,6.900,14.000,0.490,0.278,0.332,0.451,0.783
Corey Wimberly,623.000,9.300,10.300,0.910,0.284,0.373,0.354,0.727
Cory Sullivan,419.000,7.400,15.000,0.490,0.320,0.373,0.475,0.848
Craig Brazell,455.000,4.400,18.200,0.240,0.307,0.337,0.605,0.942
Craig Cooper,398.000,8.800,19.800,0.440,0.248,0.317,0.393,0.709
Craig Gentry,450.000,8.000,16.900,0.470,0.256,0.319,0.327,0.646
Craig Stansberry,483.465,11.013,16.666,0.661,0.268,0.354,0.414,0.767
Craig Wilson,458.000,9.600,24.200,0.400,0.256,0.358,0.468,0.826
Cristhian Adames,511.000,7.000,11.000,0.640,0.311,0.362,0.438,0.800
Curtis Thigpen,395.000,5.300,14.700,0.360,0.222,0.267,0.310,0.577
D.J. Peterson,518.000,8.100,18.500,0.440,0.252,0.315,0.404,0.719
Dallas McPherson,483.657,11.181,30.764,0.361,0.279,0.359,0.568,0.927
Damon Hollins,415.000,12.000,19.300,0.630,0.220,0.318,0.408,0.726
Dan Johnson,492.511,16.223,16.097,1.010,0.267,0.389,0.488,0.877
Dane Sardinha,421.000,5.900,23.300,0.260,0.202,0.255,0.325,0.580
Daniel Castro,430.000,5.600,10.000,0.560,0.306,0.344,0.397,0.741
Daniel Descalso,531.000,8.900,9.000,0.980,0.282,0.350,0.421,0.771
Daniel Fields,526.000,12.500,27.800,0.450,0.228,0.335,0.367,0.701
Daniel Nava,522.000,13.400,16.900,0.800,0.268,0.372,0.406,0.778
Daniel Ortmeier,504.000,10.100,18.300,0.550,0.295,0.373,0.406,0.779
Daniel Robertson,525.493,9.962,12.563,0.843,0.284,0.365,0.384,0.749
Daniel Vogelbach,552.219,15.632,17.998,0.872,0.291,0.403,0.480,0.884
Danny Dorn,485.616,9.132,23.550,0.388,0.258,0.331,0.448,0.778
Danny Garcia,451.000,7.800,14.600,0.530,0.242,0.327,0.339,0.666
Danny Hayes,515.000,13.000,27.600,0.470,0.228,0.327,0.415,0.742
Danny Klassen,425.000,7.300,24.500,0.300,0.293,0.354,0.427,0.781
Danny Muno,435.000,13.800,18.900,0.730,0.259,0.372,0.418,0.790
Danny Ortiz,481.598,5.359,19.221,0.275,0.251,0.291,0.433,0.724
Danny Richar,450.924,6.481,16.128,0.400,0.295,0.343,0.450,0.793
Danny Sandoval,504.000,6.000,12.700,0.470,0.280,0.324,0.374,0.698
Danny Worth,399.000,11.500,24.800,0.460,0.314,0.394,0.469,0.863
Daric Barton,552.161,15.090,11.534,1.309,0.295,0.404,0.434,0.839
Dariel Alvarez,550.664,4.017,12.973,0.301,0.282,0.315,0.404,0.718
Darin Mastroianni,451.310,7.919,17.416,0.452,0.266,0.329,0.361,0.690
Darin Ruf,390.000,7.400,20.000,0.370,0.294,0.356,0.529,0.885
Darnell McDonald,532.940,8.528,18.897,0.453,0.287,0.350,0.434,0.785
Darnell Sweeney,489.630,8.592,22.227,0.386,0.258,0.324,0.392,0.716
Darren Ford,425.000,9.200,18.400,0.500,0.261,0.333,0.403,0.736
Darwin Barney,514.000,4.500,10.100,0.440,0.299,0.333,0.378,0.711
Daryle Ward,392.000,11.000,17.600,0.620,0.252,0.337,0.405,0.741
Dave Krynzel,417.000,10.100,25.700,0.390,0.231,0.314,0.359,0.673
Dave Sappelt,550.000,6.500,13.300,0.490,0.266,0.314,0.376,0.690
David Cooper,545.000,12.300,7.900,1.560,0.364,0.439,0.535,0.974
David Espinosa,419.000,8.100,22.200,0.370,0.204,0.268,0.317,0.585
David Freese,510.000,7.600,21.800,0.350,0.306,0.361,0.550,0.910
David Lough,530.915,6.347,11.657,0.554,0.291,0.343,0.446,0.789
David Murphy,451.000,9.100,15.700,0.580,0.280,0.346,0.420,0.766
David Newhan,401.000,8.200,18.200,0.450,0.275,0.335,0.402,0.737
David Washington,399.010,9.765,34.952,0.280,0.259,0.332,0.503,0.835
David Winfree,454.020,5.256,18.307,0.290,0.281,0.321,0.469,0.791
Dayan Viciedo,505.000,8.900,16.400,0.540,0.296,0.364,0.491,0.856
Dayron Varona,463.000,3.900,21.200,0.180,0.232,0.274,0.407,0.681
Dean Anna,525.557,11.641,11.344,1.022,0.298,0.387,0.409,0.796
Dee Brown,487.276,10.764,14.222,0.788,0.281,0.361,0.463,0.825
Dee Gordon,433.000,11.800,16.200,0.730,0.297,0.385,0.390,0.775
Deibinson Romero,492.000,12.200,17.900,0.680,0.265,0.364,0.406,0.770
Delwyn Young,537.192,6.866,19.848,0.350,0.286,0.337,0.474,0.811
Denard Span,548.000,7.300,16.400,0.440,0.267,0.323,0.355,0.678
Denis Phipps,444.009,9.231,22.942,0.408,0.236,0.314,0.392,0.706
Derek Fisher,384.000,9.100,19.300,0.470,0.318,0.384,0.583,0.967
Derrick Robinson,488.000,10.200,17.200,0.600,0.268,0.344,0.325,0.668
Derrik Gibson,422.000,8.100,20.600,0.390,0.242,0.306,0.388,0.695
Desmond Jennings,429.676,10.764,16.922,0.644,0.277,0.368,0.422,0.790
Destin Hood,522.000,7.100,21.600,0.330,0.267,0.316,0.435,0.751
Deven Marrero,404.095,6.842,21.954,0.313,0.228,0.282,0.295,0.577
Devin Mesoraco,499.000,10.400,16.600,0.630,0.289,0.371,0.484,0.855
Diego Goris,470.000,6.000,19.600,0.300,0.285,0.326,0.417,0.742
Dilson Herrera,469.000,8.100,18.600,0.440,0.274,0.335,0.456,0.791
Diory Hernandez,490.000,4.100,14.900,0.270,0.288,0.317,0.383,0.700
Dixon Machado,568.002,8.253,14.098,0.595,0.264,0.331,0.344,0.675
Domingo Santana,467.630,12.767,27.799,0.461,0.312,0.403,0.518,0.921
Dominic Smith,500.000,7.800,17.400,0.450,0.330,0.386,0.519,0.905
Domonic Brown,509.000,7.500,19.400,0.380,0.239,0.303,0.336,0.639
Don Kelly,451.436,8.335,10.555,0.781,0.301,0.361,0.435,0.796
Donovan Solano,485.953,5.154,14.628,0.354,0.303,0.340,0.417,0.758
Doug Bernier,453.654,10.978,18.702,0.585,0.271,0.359,0.399,0.758
Doug Clark,548.333,10.565,17.815,0.598,0.281,0.363,0.437,0.800
Doug Deeds,556.000,11.500,21.200,0.540,0.302,0.388,0.492,0.880
Drew Dosch,473.000,7.600,23.900,0.320,0.265,0.323,0.414,0.737
Drew Garcia,406.506,6.800,24.435,0.285,0.218,0.276,0.339,0.616
Drew Locke,478.113,8.245,16.976,0.488,0.272,0.337,0.458,0.794
Drew Meyer,403.000,6.700,22.600,0.300,0.228,0.278,0.305,0.583
Drew Robinson,539.000,12.200,27.500,0.450,0.257,0.350,0.480,0.830
Drew Stubbs,472.000,10.800,22.000,0.490,0.268,0.353,0.360,0.713
Drew Sutton,436.009,13.651,19.507,0.700,0.259,0.364,0.358,0.721
Drew T. Anderson,428.395,5.721,22.070,0.258,0.282,0.329,0.430,0.759
Dustin Ackley,505.000,10.700,14.100,0.760,0.261,0.340,0.376,0.716
Dustin Martin,522.860,9.278,21.663,0.435,0.259,0.330,0.398,0.728
Dustin Pedroia,493.000,9.700,5.500,1.780,0.305,0.384,0.426,0.810
Dwight Smith Jr.,449.000,10.500,15.800,0.660,0.273,0.350,0.392,0.743
Dylan Cozens,542.000,10.700,35.800,0.300,0.210,0.301,0.418,0.719
Earl Snyder,485.962,8.254,20.075,0.411,0.237,0.302,0.399,0.701
Ed Lucas,427.250,9.211,18.711,0.501,0.283,0.353,0.419,0.772
Ed Rogers,478.150,5.843,14.301,0.413,0.267,0.320,0.371,0.690
Eddy Garabito,531.000,8.900,10.200,0.870,0.257,0.326,0.344,0.670
Edgar Gonzalez,542.435,9.288,13.092,0.710,0.312,0.378,0.452,0.830
Eduardo Escobar,536.000,5.000,19.400,0.260,0.266,0.303,0.354,0.657
Eduardo Nunez,506.000,6.300,11.900,0.530,0.289,0.340,0.381,0.721
