Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Josh Bell,446.096,10.297,20.253,0.549,0.280,0.355,0.464,0.819
Josh Donaldson,503.000,10.100,19.900,0.510,0.261,0.344,0.439,0.783
Josh Fields,507.555,9.415,24.200,0.400,0.307,0.372,0.475,0.847
Josh Kroeger,497.721,7.381,17.879,0.424,0.252,0.312,0.418,0.729
Josh Labandeira,456.000,8.100,11.400,0.710,0.276,0.351,0.352,0.702
Josh Phegley,445.191,5.747,14.878,0.383,0.270,0.319,0.456,0.775
Josh Phelps,525.017,8.959,22.191,0.411,0.299,0.372,0.550,0.922
Josh Prince,490.000,12.200,21.400,0.570,0.237,0.338,0.368,0.707
Josh Rabe,398.000,8.800,9.300,0.950,0.299,0.362,0.411,0.773
Josh Reddick,481.000,5.200,15.200,0.340,0.266,0.301,0.466,0.767
Josh Rodriguez,482.000,9.500,23.200,0.410,0.259,0.337,0.396,0.733
Josh Satin,487.414,14.281,19.471,0.737,0.287,0.389,0.441,0.829
Josh Vitters,429.346,6.175,21.484,0.305,0.261,0.314,0.431,0.745
Josh Whitesell,560.000,13.200,24.300,0.540,0.328,0.425,0.568,0.993
Josh Wilson,455.527,6.895,18.477,0.380,0.252,0.318,0.367,0.685
Juan Diaz,467.851,6.488,23.258,0.279,0.263,0.314,0.380,0.695
Juan Melo,418.000,5.700,16.700,0.340,0.263,0.306,0.367,0.673
Juan Miranda,463.431,11.998,19.555,0.613,0.289,0.376,0.476,0.851
Juan Perez,410.361,5.294,20.133,0.260,0.272,0.314,0.420,0.733
Julio Borbon,523.306,6.927,11.741,0.619,0.300,0.352,0.394,0.746
Jurickson Profar,383.000,11.200,8.600,1.300,0.287,0.383,0.428,0.811
Justin Bour,430.000,9.100,13.300,0.680,0.306,0.372,0.517,0.889
Justin Christian,446.710,7.142,12.617,0.574,0.270,0.330,0.391,0.721
Justin Henry,485.431,9.857,12.816,0.774,0.261,0.338,0.326,0.665
Justin Huber,458.825,10.056,19.686,0.531,0.275,0.357,0.481,0.838
Justin Leone,494.083,13.883,21.138,0.661,0.261,0.366,0.465,0.831
Justin Maxwell,448.000,12.100,30.400,0.400,0.242,0.344,0.396,0.740
Justin Ruggiano,528.826,9.219,26.931,0.344,0.283,0.358,0.456,0.814
Justin Sellers,395.000,6.300,12.200,0.520,0.254,0.307,0.335,0.642
Justin Turner,442.002,7.550,9.954,0.785,0.308,0.368,0.438,0.806
Kaleb Cowart,437.110,9.287,19.806,0.479,0.295,0.360,0.466,0.827
Kean Wong,417.000,8.200,18.700,0.440,0.265,0.328,0.361,0.688
Keith Ginter,476.142,11.386,16.065,0.716,0.257,0.356,0.391,0.747
Keith Reed,453.000,4.200,13.900,0.300,0.279,0.319,0.441,0.761
Kenny Kelly,409.000,10.500,18.300,0.570,0.248,0.332,0.305,0.637
Kennys Vargas,402.000,16.400,22.100,0.740,0.233,0.361,0.424,0.785
Kensuke Tanaka,400.000,10.500,9.000,1.170,0.329,0.400,0.397,0.797
Kerry Robinson,437.000,7.600,8.200,0.920,0.311,0.370,0.402,0.771
Kevin Barker,506.361,13.173,20.823,0.632,0.269,0.365,0.478,0.843
Kevin Frandsen,447.839,4.568,6.861,0.678,0.292,0.343,0.397,0.740
Kevin Hooper,549.000,4.200,12.900,0.320,0.276,0.309,0.327,0.636
Kevin Howard,483.000,9.900,10.600,0.940,0.310,0.380,0.473,0.853
Kevin Mahar,410.000,3.400,23.900,0.140,0.276,0.303,0.389,0.692
