Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Alex Dickerson,519.000,8.700,18.500,0.307,0.374,0.503,0.877,1.000
Alex Hassan,474.000,12.700,23.000,0.287,0.378,0.426,0.804,0.000
Alex Liddi,562.779,8.384,28.629,0.253,0.318,0.460,0.779,0.000
Alex Presley,391.000,10.200,14.300,0.298,0.376,0.427,0.803,0.000
Alex Romero,584.000,6.300,9.100,0.310,0.354,0.421,0.775,0.000
Alex Verdugo,495.000,10.500,10.100,0.314,0.389,0.436,0.825,0.000
Alex Yarbrough,545.000,4.800,25.000,0.236,0.274,0.324,0.598,0.000
Alexi Amarista,396.000,5.600,14.100,0.292,0.337,0.419,0.755,0.000
Allan Dykstra,439.000,19.100,22.100,0.280,0.426,0.504,0.930,0.000
Allen Craig,521.000,7.100,18.200,0.322,0.374,0.547,0.921,1.000
Amed Rosario,425.000,5.400,15.800,0.328,0.367,0.466,0.833,1.000
Anderson Hernandez,528.820,5.760,15.801,0.253,0.298,0.338,0.636,0.000
Andrew Aplin,447.000,9.400,21.900,0.223,0.300,0.318,0.619,0.000
Andrew Brown,433.058,10.723,23.640,0.296,0.373,0.550,0.922,0.000
Andrew Knapp,443.000,8.400,24.200,0.266,0.330,0.390,0.719,1.000
Andrew McCutchen,590.000,11.500,14.700,0.283,0.372,0.398,0.770,1.000
Andrew Romine,427.283,10.300,18.146,0.284,0.365,0.368,0.733,1.000
Andy Burns,493.216,7.246,15.414,0.264,0.320,0.363,0.683,0.000
Andy Cannizaro,487.000,10.500,12.100,0.276,0.367,0.380,0.746,0.000
Andy Gonzalez,434.942,10.886,18.053,0.265,0.353,0.371,0.724,0.000
Andy Marte,394.000,8.600,20.600,0.261,0.322,0.451,0.773,0.000
Andy Parrino,420.000,10.200,24.300,0.210,0.300,0.302,0.602,0.000
Andy Wilkins,513.499,7.902,18.023,0.273,0.327,0.504,0.831,0.000
Angel Chavez,476.972,5.043,12.716,0.279,0.318,0.397,0.715,0.000
Angel Sanchez,506.000,7.700,13.200,0.305,0.363,0.428,0.791,0.000
Angelys Nina,434.860,5.191,12.680,0.290,0.327,0.399,0.725,0.000
Anthony Gose,465.622,9.381,23.890,0.263,0.342,0.379,0.721,1.000
Anthony Recker,412.000,13.600,19.700,0.287,0.388,0.501,0.889,1.000
Anthony Rizzo,413.000,10.400,21.500,0.331,0.404,0.652,1.056,1.000
Argenis Diaz,463.022,8.903,19.137,0.265,0.332,0.343,0.675,0.000
Argenis Reyes,416.000,7.000,11.100,0.282,0.336,0.377,0.713,0.000
Arismendy Alcantara,468.337,6.861,26.122,0.252,0.304,0.426,0.729,0.000
Asdrubal Cabrera,444.000,7.200,20.300,0.249,0.310,0.349,0.658,1.000
Audy Ciriaco,413.000,7.300,20.100,0.255,0.312,0.458,0.771,0.000
Austin Barnes,385.000,11.200,13.800,0.295,0.380,0.443,0.824,1.000
Austin Jackson,557.000,7.200,22.100,0.300,0.354,0.405,0.759,1.000
Austin Nola,407.000,5.900,13.800,0.261,0.308,0.376,0.685,0.000
Austin Wates,452.000,11.500,14.800,0.286,0.374,0.367,0.741,0.000
Balbino Fuenmayor,381.000,4.500,20.200,0.291,0.325,0.405,0.730,0.000
Ben Copeland,419.000,13.600,16.000,0.280,0.378,0.404,0.782,0.000
Ben Francisco,513.811,8.096,13.712,0.295,0.361,0.472,0.832,1.000
Ben Gamel,542.149,8.202,18.617,0.304,0.361,0.446,0.808,1.000
Ben Guez,480.675,10.283,27.589,0.236,0.335,0.424,0.758,0.000
Ben Paulsen,499.513,9.539,24.704,0.293,0.361,0.528,0.889,0.000
Bernie Castro,481.000,7.700,13.300,0.280,0.335,0.362,0.698,0.000
Billy Burns,414.000,10.600,14.500,0.285,0.369,0.328,0.696,1.000
Billy Hamilton,547.000,6.900,18.600,0.256,0.308,0.343,0.651,1.000
Blake DeWitt,407.000,11.800,10.800,0.256,0.349,0.426,0.775,1.000
Brad Coon,468.357,11.857,13.838,0.289,0.385,0.364,0.749,0.000
Brad Eldred,469.000,6.000,30.700,0.244,0.305,0.546,0.851,0.000
Brad Nelson,496.462,11.170,17.119,0.270,0.352,0.466,0.818,0.000
Brad Snyder,446.000,6.100,27.600,0.246,0.297,0.426,0.722,0.000
Brandon Allen,459.022,14.897,20.649,0.275,0.387,0.526,0.913,0.000
Brandon Boggs,419.504,15.639,22.817,0.280,0.394,0.436,0.829,0.000
Brandon Dixon,491.000,7.500,25.500,0.264,0.327,0.457,0.783,0.000
Brandon Guyer,424.851,7.566,16.606,0.307,0.379,0.491,0.870,1.000
Brandon Hicks,407.000,10.100,33.700,0.252,0.333,0.446,0.779,0.000
Brandon Jones,420.816,11.442,18.144,0.271,0.352,0.412,0.764,0.000
Brandon Laird,515.465,5.557,17.994,0.272,0.317,0.443,0.761,0.000
Brandon Moss,541.427,10.205,24.245,0.274,0.353,0.483,0.836,1.000
Brandon Nimmo,444.000,10.400,16.400,0.352,0.423,0.541,0.964,1.000
Brandon Snyder,494.000,6.500,18.400,0.261,0.312,0.406,0.718,0.000
Brandon Watson,508.763,5.068,8.822,0.299,0.336,0.380,0.716,0.000
Brandon Wood,451.651,8.528,22.243,0.280,0.345,0.514,0.859,0.000
Brendan Harris,422.000,9.500,20.100,0.300,0.381,0.463,0.844,1.000
Brendan Katin,456.602,8.211,28.378,0.262,0.339,0.534,0.873,0.000
Brennan King,459.965,6.516,15.901,0.270,0.321,0.410,0.731,0.000
Brent Clevlen,535.538,8.959,28.469,0.272,0.343,0.469,0.811,0.000
Brent Dlugach,501.044,6.388,28.579,0.277,0.327,0.404,0.731,0.000
Brent Lillibridge,403.000,8.200,22.300,0.220,0.294,0.344,0.638,0.000
Brent Morel,452.000,10.600,23.000,0.266,0.349,0.403,0.751,0.000
Brett Eibner,431.000,8.800,18.300,0.303,0.364,0.514,0.878,0.000
Brett Gardner,426.000,16.400,17.800,0.296,0.414,0.422,0.837,1.000
Brett Harper,423.000,6.100,11.300,0.292,0.333,0.508,0.841,0.000
Brett Jackson,467.000,10.100,33.800,0.256,0.338,0.479,0.817,0.000
Brett Nicholas,459.836,6.697,20.265,0.277,0.329,0.419,0.748,1.000
Brett Phillips,432.000,10.400,29.900,0.305,0.377,0.567,0.944,0.000
Brett Pill,571.535,4.796,10.442,0.294,0.330,0.482,0.812,1.000
Brett Wallace,468.773,7.185,21.250,0.293,0.354,0.462,0.816,0.000
Breyvic Valera,470.000,8.100,7.200,0.314,0.368,0.450,0.819,0.000
Brian Barden,478.238,8.356,16.496,0.284,0.352,0.420,0.772,0.000
Brian Barton,458.000,10.700,24.000,0.254,0.344,0.370,0.715,1.000
Brian Bixler,480.577,8.400,24.083,0.278,0.354,0.408,0.762,0.000
Brian Bocock,439.000,11.200,20.000,0.226,0.313,0.303,0.615,0.000
Brian Bogusevic,578.016,10.393,19.554,0.274,0.353,0.389,0.742,1.000
Brian Dinkelman,560.948,8.706,17.170,0.255,0.327,0.353,0.680,0.000
Brian Goodwin,492.000,9.300,21.500,0.280,0.349,0.438,0.787,1.000
Brock Bond,445.798,12.973,11.780,0.306,0.408,0.384,0.792,0.000
Brock Peterson,502.000,10.200,26.100,0.245,0.333,0.437,0.770,0.000
Brock Stassi,442.000,13.600,17.200,0.267,0.369,0.437,0.806,0.000
Bronson Sardinha,439.000,10.500,17.500,0.222,0.306,0.387,0.693,0.000
Brooks Conrad,602.015,9.703,23.153,0.242,0.319,0.477,0.796,1.000
Bryan Anderson,392.000,9.200,22.700,0.225,0.302,0.317,0.619,0.000
Bryan LaHair,536.901,9.104,21.078,0.289,0.355,0.500,0.855,1.000
Bryan Petersen,579.000,11.200,20.200,0.275,0.363,0.407,0.770,0.000
Bubba Bell,401.000,10.200,15.500,0.293,0.366,0.399,0.765,0.000
Buck Coats,518.360,8.023,15.432,0.295,0.353,0.410,0.763,0.000
Caleb Gindl,487.474,9.821,19.343,0.269,0.342,0.422,0.764,1.000
Caleb Ramsey,468.000,7.700,18.200,0.265,0.320,0.361,0.681,0.000
Callix Crabbe,541.000,12.400,12.900,0.287,0.377,0.435,0.813,0.000
Cameron Perkins,433.000,4.800,13.600,0.292,0.329,0.419,0.748,0.000
Carlos Asuaje,597.000,8.200,13.700,0.321,0.378,0.473,0.851,1.000
Carlos Maldonado,384.000,9.400,17.400,0.283,0.354,0.390,0.743,0.000
Carlos Moncrief,530.000,7.200,24.500,0.271,0.328,0.431,0.759,0.000
Carlos Peguero,465.600,9.432,31.851,0.263,0.334,0.507,0.840,1.000
Carlos Quentin,396.000,11.400,11.600,0.289,0.424,0.487,0.912,1.000
Carlos Rivero,493.541,6.352,18.838,0.279,0.323,0.395,0.719,0.000
Carlos Ruiz,423.000,9.900,13.200,0.307,0.389,0.505,0.894,1.000
Carlos Sanchez,486.616,6.709,16.458,0.267,0.321,0.355,0.676,0.000
Carlos Triunfel,459.744,3.177,17.420,0.272,0.311,0.392,0.703,0.000
Carter Jurica,404.000,9.400,20.800,0.249,0.328,0.318,0.647,0.000
Casey Gillaspie,515.000,9.700,19.400,0.223,0.297,0.373,0.670,0.000
Casey McGehee,548.007,7.400,14.506,0.288,0.341,0.418,0.758,1.000
Casey Rogowski,508.850,10.897,20.846,0.264,0.349,0.427,0.775,0.000
Casey Smith,434.000,4.800,13.100,0.280,0.319,0.398,0.717,0.000
Casper Wells,430.000,7.900,25.800,0.233,0.309,0.483,0.793,1.000
Cedric Hunter,469.222,8.422,11.844,0.276,0.342,0.400,0.741,0.000
Cesar Crespo,488.000,11.300,17.400,0.239,0.326,0.319,0.646,0.000
