Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Nick Markakis,178.400,125.700,37.800,13.600,83.400,76.000,67.700,6.200,94.500,6.000,0.287
Nick Punto,99.000,76.000,18.000,1.000,53.000,25.000,55.000,1.000,90.000,16.000,0.210
Nick Swisher,136.429,79.429,31.143,24.714,82.143,79.857,83.714,4.429,133.571,1.714,0.257
Nolan Arenado,169.000,93.750,37.500,32.500,90.500,111.250,46.750,8.250,97.750,2.250,0.289
Nomar Mazara,138.500,94.500,21.500,20.000,61.500,82.500,47.000,3.500,119.500,1.000,0.260
Nori Aoki,153.667,116.667,26.333,6.333,74.667,43.333,47.000,0.667,48.000,22.333,0.286
Nyjer Morgan,136.500,112.000,16.000,1.500,67.000,31.500,40.000,1.500,81.000,38.000,0.280
Odubel Herrera,154.000,106.667,31.000,12.333,72.667,48.667,40.667,3.667,129.667,16.333,0.288
Omar Infante,149.000,113.000,22.500,8.250,59.750,53.750,29.250,1.250,65.500,9.250,0.281
Omar Vizquel,126.000,101.000,18.000,4.000,54.000,51.000,44.000,6.000,48.000,14.000,0.246
Orlando Arcia,140.000,106.000,17.000,15.000,56.000,53.000,36.000,9.000,100.000,14.000,0.277
Orlando Cabrera,173.500,130.750,34.250,7.250,85.250,65.500,41.000,0.500,64.750,15.750,0.282
Orlando Hudson,147.000,103.000,29.000,8.333,74.333,54.000,60.667,1.667,91.000,9.333,0.282
Pablo Sandoval,153.000,103.400,31.200,15.600,60.600,70.400,42.000,7.400,80.200,1.600,0.280
Pat Burrell,127.500,65.000,29.500,31.500,75.500,91.500,108.000,4.500,128.000,0.000,0.253
Paul Goldschmidt,169.800,100.800,36.800,29.800,102.200,106.400,96.200,16.400,144.600,20.800,0.301
Paul Konerko,143.571,91.000,25.143,27.000,67.143,83.571,64.429,6.714,89.571,0.571,0.276
Pedro Alvarez,129.000,71.000,23.500,33.000,67.000,92.500,52.500,6.500,183.000,1.500,0.238
Pedro Feliz,147.500,100.500,29.000,16.000,61.500,77.000,32.000,2.500,69.000,1.000,0.260
Peter Bourjos,136.000,87.000,26.000,12.000,72.000,43.000,32.000,0.000,124.000,22.000,0.271
Placido Polanco,169.800,131.400,28.400,7.600,79.800,59.800,36.400,1.600,42.000,5.800,0.302
Prince Fielder,171.000,102.875,32.250,34.750,91.250,109.625,91.125,18.375,115.750,1.375,0.290
Rafael Furcal,149.333,115.667,23.000,6.667,82.667,47.667,53.333,2.000,71.333,16.333,0.268
Rajai Davis,149.000,113.000,28.000,5.000,66.000,52.000,26.000,0.000,78.000,50.000,0.284
Ramon Hernandez,119.000,81.000,22.000,15.000,49.000,65.000,32.000,3.000,62.000,0.000,0.257
Randy Winn,167.333,118.333,37.667,8.667,74.000,60.000,50.000,3.667,88.667,18.667,0.289
Raul Ibanez,154.800,93.000,35.600,22.800,79.600,95.000,54.800,7.400,108.000,2.400,0.275
Ray Durham,101.000,67.000,21.000,11.000,56.000,71.000,53.000,6.000,75.000,10.000,0.218
Reggie Willits,126.000,105.000,20.000,0.000,74.000,34.000,69.000,2.000,83.000,27.000,0.293
Rickie Weeks Jr.,127.800,77.200,26.000,20.000,90.000,55.400,68.800,2.000,138.200,16.000,0.247
Robert Andino,120.000,93.000,22.000,5.000,63.000,36.000,41.000,0.000,83.000,13.000,0.263
Robinson Cano,186.909,119.909,39.727,24.727,91.273,94.818,46.909,9.273,84.273,4.091,0.302
Ronnie Belliard,148.000,101.000,35.000,11.000,57.000,58.000,34.000,1.000,72.000,3.000,0.290
Rougned Odor,144.000,82.000,27.000,31.500,84.000,81.500,25.500,2.500,148.500,14.500,0.237
Russell Branyan,108.000,55.000,21.000,31.000,64.000,76.000,58.000,6.000,149.000,2.000,0.251
Russell Martin,124.833,85.167,22.667,16.167,71.000,69.167,66.833,3.667,102.333,10.833,0.253
Ryan Braun,173.000,103.750,34.625,30.250,94.750,100.250,52.125,5.000,112.750,20.250,0.302
Ryan Church,128.000,69.000,43.000,15.000,57.000,70.000,49.000,4.000,107.000,3.000,0.272
Ryan Doumit,126.500,78.500,31.000,16.000,52.500,65.000,38.500,4.500,98.500,0.500,0.261
Ryan Garko,137.500,94.000,25.000,17.500,61.500,75.500,39.500,1.000,90.000,0.000,0.281
