Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Emmanuel Burriss,109.000,88.333,13.000,3.333,52.333,35.333,33.667,1.333,43.000,17.000,0.273
Engel Beltre,115.000,88.000,19.000,7.000,58.000,34.000,28.000,2.000,84.000,15.000,0.292
Eric Bruntlett,101.000,66.000,24.000,10.000,61.000,49.000,37.000,2.000,94.000,8.000,0.243
Eric Campbell,107.000,71.000,25.000,8.000,61.000,66.000,66.000,0.000,60.000,12.000,0.314
Eric Duncan,100.500,64.000,24.500,11.000,46.500,60.500,42.500,3.000,97.000,4.000,0.237
Eric Farris,129.750,101.750,20.750,5.000,59.000,40.250,29.000,0.250,59.000,23.750,0.271
Eric Munson,93.000,56.000,22.000,13.000,50.000,68.000,54.000,2.000,71.000,0.000,0.265
Eric Patterson,148.000,98.000,28.500,13.000,92.500,60.500,53.000,2.500,83.000,33.500,0.302
Eric Reed,118.000,84.000,20.000,5.000,68.000,39.000,24.000,1.000,94.000,20.000,0.303
Eric Sogard,154.000,115.000,28.000,5.000,82.000,65.000,75.000,2.000,68.000,14.000,0.300
Eric Thames,98.000,66.000,20.000,10.000,49.000,46.000,40.000,1.000,95.000,6.000,0.278
Eric Wood,99.000,53.000,25.000,16.000,58.000,61.000,45.000,1.000,125.000,7.000,0.238
Eric Young Jr.,122.500,89.500,18.000,7.500,92.500,47.500,44.500,0.500,67.500,39.000,0.302
Erick Almonte,102.000,64.000,27.000,10.000,50.000,50.000,55.000,1.000,71.000,3.000,0.258
Erik Gonzalez,127.000,84.000,31.000,11.000,62.000,53.000,19.000,2.000,88.000,12.000,0.296
Erik Kratz,103.000,69.000,19.000,15.000,56.000,53.000,38.000,5.000,72.000,2.000,0.288
Ernesto Mejia,137.000,76.500,33.500,26.000,65.500,87.500,41.000,2.500,142.000,9.000,0.273
Ernie Young,92.500,60.500,19.000,13.000,48.000,55.000,46.500,1.500,92.000,1.000,0.257
Esteban German,137.667,104.333,23.667,5.333,78.667,56.667,67.000,0.333,66.000,43.000,0.300
Eugenio Velez,123.333,83.333,26.000,9.000,60.333,51.333,45.333,1.667,76.667,31.333,0.301
Eury Perez,121.000,91.000,18.000,7.000,55.000,28.000,13.000,0.000,64.000,23.000,0.300
Evan Frey,107.000,82.000,14.000,2.000,66.000,38.000,59.000,0.000,68.000,22.000,0.275
Ezequiel Carrera,109.250,83.750,15.750,4.500,58.250,37.000,36.750,0.000,69.500,33.000,0.281
Felix Perez,122.667,84.000,28.000,8.667,52.667,58.000,27.333,1.000,79.667,3.000,0.281
Felix Pie,123.500,81.000,25.000,11.500,65.500,48.500,41.500,2.500,104.500,27.500,0.267
Fernando Cortez,100.500,83.500,12.000,2.000,38.500,27.500,19.500,0.000,50.000,11.500,0.248
Fernando Perez,104.667,80.667,14.000,4.333,64.333,31.000,44.000,1.000,117.667,29.667,0.245
Fernando Tatis,137.000,80.000,31.000,21.000,90.000,67.000,62.000,1.000,103.000,8.000,0.276
Franchy Cordero,127.000,71.000,21.000,17.000,68.000,64.000,23.000,1.000,118.000,15.000,0.326
Francisco Cervelli,87.000,68.000,15.000,2.000,43.000,39.000,39.000,1.000,82.000,6.000,0.246
Francisco Peguero,122.000,87.000,20.000,5.000,46.000,68.000,15.000,1.000,82.000,1.000,0.272
Frank Schwindel,126.000,79.000,30.000,17.000,51.000,72.000,10.000,0.000,68.000,0.000,0.321
Franklin Barreto,136.000,95.000,19.000,15.000,63.000,54.000,27.000,3.000,141.000,15.000,0.290
Franklin Gutierrez,97.000,61.000,27.000,9.000,63.000,38.000,49.000,4.000,84.000,13.000,0.278
Fred Lewis,122.000,77.500,23.000,12.500,82.500,50.500,62.500,2.000,109.000,21.500,0.285
Freddie Freeman,147.000,92.000,35.000,18.000,73.000,87.000,43.000,3.000,84.000,6.000,0.319
Freddy Guzman,118.667,90.333,18.000,3.333,75.333,34.333,49.000,0.667,61.667,51.333,0.273
Freddy Sandoval,176.000,114.000,45.000,15.000,92.000,88.000,47.000,3.000,74.000,6.000,0.335
Garin Cecchini,104.000,77.000,18.667,6.333,45.333,45.667,39.000,1.667,87.667,11.000,0.249
Garrett Jones,128.000,73.667,32.333,19.000,70.333,84.667,43.667,4.000,100.667,4.667,0.266
Gary Brown,123.333,84.333,23.000,10.000,75.333,50.333,30.333,0.000,107.333,22.333,0.248
Gary Burnham,144.000,97.000,35.000,12.000,59.000,84.000,70.000,9.000,73.000,0.000,0.292
Gavin Cecchini,133.000,96.500,27.000,7.000,69.500,47.000,44.000,0.500,58.000,4.500,0.296
George Kottaras,96.000,56.000,18.000,22.000,63.000,65.000,64.000,3.000,110.000,0.000,0.243
Geovany Soto,114.500,71.000,26.000,16.000,54.500,73.500,47.000,1.000,84.000,0.000,0.312
Gil Velazquez,116.000,94.000,16.000,4.000,54.667,42.000,49.667,2.000,58.000,8.667,0.298
Giovanny Urshela,118.500,79.000,25.500,10.500,58.500,61.000,22.500,0.500,54.500,0.000,0.275
Glenn Williams,95.000,64.500,19.500,8.000,40.000,46.500,32.500,1.000,89.000,2.000,0.246
Gookie Dawkins,100.000,74.500,19.000,5.000,44.500,33.000,29.500,0.000,90.500,10.500,0.249
Gorkys Hernandez,115.750,85.500,20.000,5.250,58.000,41.250,39.500,0.750,92.750,20.750,0.284
Grant Green,134.667,91.667,27.333,10.333,66.667,57.000,27.000,1.000,74.000,6.333,0.309
Greg Dobbs,119.000,88.000,19.000,9.000,60.000,55.000,37.000,5.000,58.000,14.000,0.314
Greg Garcia,99.000,74.333,18.000,3.667,52.333,37.000,46.000,1.333,73.333,12.333,0.279
Greg Golson,113.000,80.250,19.500,6.500,54.750,41.250,25.250,0.000,108.000,18.000,0.265
Greg Halman,103.000,45.000,21.000,33.000,82.000,80.000,37.000,0.000,169.000,15.000,0.243
Gregor Blanco,103.500,84.500,13.500,2.500,67.500,32.500,56.500,0.000,77.500,16.500,0.255
Gregorio Petit,112.500,83.000,22.000,6.500,52.500,47.750,33.750,1.000,82.250,4.500,0.262
Hank Conger,116.000,77.000,26.000,11.000,56.000,49.000,55.000,1.000,58.000,0.000,0.300
Harrison Bader,122.000,83.000,18.000,20.000,74.000,55.000,34.000,0.000,118.000,15.000,0.283
Hector Gimenez,97.000,59.000,22.000,14.000,50.000,57.000,37.000,0.000,89.000,2.000,0.259
Hector Gomez,115.000,69.000,25.000,15.000,59.000,49.000,21.000,1.000,80.000,5.000,0.282
Hector Luna,111.750,76.250,22.000,12.250,59.250,53.750,36.000,0.750,66.500,5.750,0.281
Henry Alejandro Rodriguez,131.000,110.000,17.000,4.000,45.000,41.000,28.000,0.000,69.000,6.000,0.274
Henry Mateo,110.000,81.000,21.000,2.000,55.000,35.000,38.000,1.000,78.000,33.000,0.254
Henry Urrutia,134.000,101.000,22.000,10.000,58.000,53.000,40.000,1.000,81.000,1.000,0.291
Hernan Iribarren,114.500,90.667,18.333,2.667,52.500,42.833,35.333,2.667,64.333,11.833,0.291
Hernan Perez,157.000,112.000,32.000,6.000,69.000,53.000,36.000,1.000,65.000,21.000,0.287
Howie Clark,121.000,90.000,24.000,6.000,66.000,50.000,34.000,0.000,27.000,3.000,0.313
Hunter Brown,101.000,62.000,30.000,7.000,64.000,48.000,55.000,1.000,89.000,12.000,0.262
Hunter Dozier,115.000,63.000,36.000,15.000,65.000,54.000,40.000,3.000,100.000,3.000,0.294
Hunter Morris,123.000,70.000,26.000,24.000,61.000,73.000,43.000,3.000,122.000,3.000,0.247
Hunter Renfroe,163.000,94.000,34.000,30.000,95.000,105.000,22.000,3.000,115.000,5.000,0.306
Ian Stewart,126.000,86.000,23.000,15.000,72.000,65.000,49.000,6.000,92.000,11.000,0.304
Ildemaro Vargas,152.000,103.000,35.000,10.000,87.000,65.000,30.000,0.000,40.000,8.000,0.312
Irving Falu,122.714,96.857,17.000,3.714,57.714,43.000,40.571,1.286,43.143,16.286,0.282
Isaac Galloway,111.000,82.000,16.000,8.500,53.000,40.000,25.500,1.000,108.500,22.500,0.252
Ivan De Jesus Jr.,134.250,99.000,25.250,6.750,67.750,62.750,40.500,0.500,77.250,3.750,0.308
J.B. Shuck,115.000,87.000,18.333,3.000,55.000,41.333,46.667,1.667,34.333,11.000,0.292
J.J. Furmaniak,92.750,65.250,18.250,7.500,47.500,39.500,30.750,1.000,86.000,12.250,0.237
J.P. Arencibia,107.000,53.000,28.333,25.000,65.000,75.000,26.333,0.333,108.000,0.000,0.255
J.P. Crawford,115.000,74.000,20.000,15.000,75.000,63.000,79.000,1.000,97.000,5.000,0.243
J.R. House,130.333,90.000,27.000,12.667,57.667,59.667,43.000,1.333,56.000,0.667,0.285
