,Name,H_AAA,1B_AAA,2B_AAA,HR_AAA,R_AAA,RBI_AAA,BB_AAA,IBB_AAA,SO_AAA,SB_AAA,AVG_AAA,H_y,1B_y,2B_y,HR_y,R_y,RBI_y,BB_y,IBB_y,SO_y,SB_y,AVG_y
10,Andres Torres,103.5,65.5,22.0,6.5,68.5,40.5,52.0,1.5,95.0,24.0,0.271,136.0,69.0,43.0,16.0,84.0,63.0,56.0,2.0,128.0,26.0,0.268
11,Andrew McCutchen,145.0,107.0,26.0,9.0,75.0,50.0,68.0,1.0,87.0,34.0,0.28300000000000003,167.375,105.875,33.25,23.875,92.5,83.875,78.875,7.625,119.375,18.625,0.29100000000000004
12,Andy LaRoche,99.0,65.0,21.0,12.0,45.0,51.0,37.0,1.0,55.0,4.0,0.271,135.0,89.0,29.0,12.0,64.0,64.0,50.0,1.0,84.0,3.0,0.258
13,Anthony Gose,107.0,76.0,19.0,4.0,75.5,35.0,43.5,0.5,111.0,28.0,0.263,123.0,86.0,24.0,5.0,73.0,26.0,45.0,0.0,145.0,23.0,0.254
14,Anthony Rizzo,118.0,57.0,34.0,26.0,64.0,101.0,43.0,5.0,89.0,7.0,0.331,156.0,87.2,36.2,30.0,89.4,95.4,78.4,8.4,109.2,8.2,0.272
15,Asdrubal Cabrera,98.0,69.0,23.0,4.0,53.0,36.0,32.0,1.0,90.0,12.0,0.249,143.25,91.75,33.125,15.875,71.875,66.5,43.5,2.5,102.75,9.5,0.27
16,Austin Jackson,151.0,115.0,23.0,4.0,67.0,65.0,40.0,1.0,123.0,24.0,0.3,154.167,108.833,28.333000000000002,9.167,87.0,49.333,49.667,1.167,147.333,17.667,0.273
17,Ben Gamel,149.5,105.0,27.0,8.0,78.5,57.5,44.5,4.0,101.0,16.0,0.304,140.0,97.0,27.0,11.0,68.0,59.0,36.0,1.0,122.0,4.0,0.275
18,Billy Burns,101.0,90.0,7.0,0.0,50.0,22.0,44.0,1.0,60.0,24.0,0.285,153.0,121.0,18.0,5.0,70.0,42.0,26.0,1.0,81.0,26.0,0.294
19,Billy Hamilton,129.0,101.0,18.0,6.0,75.0,41.0,38.0,0.0,102.0,75.0,0.256,142.5,107.0,21.0,5.0,78.5,43.0,39.0,0.0,125.0,57.5,0.248
20,Brandon Moss,130.667,74.0,34.667,20.333,68.333,84.667,55.0,2.333,131.0,6.332999999999999,0.27399999999999997,112.333,62.0,23.333000000000002,24.666999999999998,63.333,75.333,55.333,4.667,147.0,1.6669999999999998,0.239
21,Brendan Harris,113.0,73.667,27.333000000000002,9.667,60.667,57.667,43.0,1.0,72.0,3.0,0.281,149.0,99.0,35.0,12.0,72.0,59.0,42.0,1.0,96.0,4.0,0.28600000000000003
22,Brennan Boesch,124.0,67.0,25.0,25.0,68.0,85.0,29.0,2.0,86.0,10.0,0.332,116.0,76.5,24.0,13.0,50.5,60.5,33.0,3.0,101.5,6.5,0.248
23,Brett Gardner,101.0,75.0,12.0,3.0,68.0,32.0,70.0,2.0,76.0,37.0,0.29600000000000004,143.0,100.429,24.429000000000002,11.571,88.85700000000001,51.857,65.286,0.857,116.85700000000001,28.570999999999998,0.264
24,Carlos Pena,116.0,73.0,20.0,23.0,72.0,74.0,68.0,4.0,94.0,4.0,0.278,111.667,54.833,23.333000000000002,31.833000000000002,79.0,91.333,93.5,6.832999999999999,162.0,2.333,0.22899999999999998
25,Carlos Quentin,92.0,50.0,30.0,9.0,66.0,52.0,45.0,1.0,46.0,5.0,0.289,124.0,66.0,25.5,31.0,84.5,93.5,58.0,1.5,81.5,4.5,0.266
26,Casey McGehee,141.667,100.0,31.666999999999998,9.667,60.0,70.0,39.667,1.0,77.333,2.0,0.298,157.667,112.667,30.333000000000002,13.333,57.333,82.333,54.0,4.0,102.667,1.6669999999999998,0.265
27,Cesar Hernandez,121.0,98.0,12.0,2.0,59.0,34.0,41.0,0.0,81.0,32.0,0.309,155.5,119.5,20.0,7.5,76.0,36.5,63.5,2.5,110.0,16.0,0.294
28,Cheslor Cuthbert,110.0,76.0,22.0,11.0,55.0,51.0,37.0,1.0,60.0,5.0,0.27699999999999997,130.0,89.0,28.0,12.0,49.0,46.0,32.0,0.0,96.0,2.0,0.27399999999999997
29,Chris Carter,142.8,89.2,29.8,21.8,74.8,84.2,57.6,4.6,85.8,2.6,0.294,116.667,55.667,24.0,35.667,72.0,88.0,67.333,2.667,200.0,3.333,0.22399999999999998
30,Chris Davis,130.0,83.0,31.0,14.0,67.0,80.0,37.0,4.0,105.0,3.0,0.327,127.833,66.167,24.166999999999998,37.167,84.5,92.833,67.0,6.667000000000001,193.833,2.0,0.242
31,Chris Denorfia,117.0,85.0,18.0,9.0,62.0,49.0,31.0,0.0,52.0,15.0,0.271,132.0,99.0,21.0,10.0,67.0,47.0,42.0,2.0,84.0,11.0,0.27899999999999997
32,Chris Johnson,108.0,70.0,20.0,13.0,48.0,42.0,21.0,1.0,90.0,2.0,0.281,151.667,108.0,29.666999999999998,12.333,48.333,67.333,27.666999999999998,3.0,135.667,3.667,0.28800000000000003
33,Chris Owings,180.0,129.0,31.0,12.0,104.0,81.0,22.0,2.0,99.0,20.0,0.33,117.0,81.0,27.0,4.0,59.0,43.0,26.0,3.0,144.0,16.0,0.22699999999999998
34,Chris Taylor,103.0,73.0,20.0,4.0,56.0,32.0,50.0,0.0,61.0,16.0,0.3,148.0,88.0,34.0,21.0,85.0,72.0,50.0,0.0,142.0,17.0,0.28800000000000003
