,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
157,Deven Marrero,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
158,Devin Mesoraco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
159,Dilson Herrera,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,Diory Hernandez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
161,Dixon Machado,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
162,Domingo Santana,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0
163,Dominic Smith,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
164,Domonic Brown,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
165,Don Kelly,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
166,Donovan Solano,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
167,Drew Robinson,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
168,Drew Stubbs,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
169,Drew Sutton,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
170,Dustin Ackley,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
171,Dustin Pedroia,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
172,Ed Lucas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,Edgar Gonzalez,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
174,Eduardo Escobar,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
175,Eduardo Nunez,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
176,Edwin Maysonet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
