Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Jeremy Lucas,398.000,11.300,18.600,0.252,0.350,0.425,0.775,0.000
Jeremy Moore,508.000,7.700,24.000,0.303,0.358,0.463,0.821,0.000
Jeremy Slayden,552.000,9.800,19.000,0.298,0.377,0.480,0.858,0.000
Jeremy West,506.000,8.100,12.600,0.269,0.342,0.431,0.773,0.000
Jermaine Curtis,440.000,10.700,11.600,0.313,0.416,0.378,0.794,0.000
Jerrick Suiter,399.000,11.800,20.800,0.285,0.372,0.447,0.819,0.000
Jerry Gil,481.000,3.700,23.100,0.269,0.302,0.531,0.834,0.000
Jesmuel Valentin,388.000,9.800,14.400,0.276,0.346,0.399,0.745,0.000
Jesse Winker,526.000,14.100,15.800,0.282,0.390,0.433,0.823,1.000
Jesus Aguilar,567.000,9.900,18.900,0.275,0.349,0.427,0.776,0.000
Jesus Cota,482.000,6.200,15.800,0.233,0.283,0.377,0.659,0.000
Jesus Guzman,471.000,9.800,15.700,0.257,0.335,0.382,0.718,1.000
Jesus Merchan,421.000,6.400,6.200,0.310,0.380,0.452,0.832,0.000
Jesus Valdez,569.000,4.900,14.600,0.273,0.317,0.398,0.715,0.000
Jeudy Valdez,492.927,4.828,23.590,0.238,0.286,0.384,0.670,0.000
Jhon Florentino,436.000,6.900,16.100,0.266,0.318,0.371,0.689,0.000
Jiandido Tromp,491.000,5.700,22.800,0.285,0.329,0.485,0.813,0.000
Jim Adduci,534.000,10.900,14.200,0.300,0.377,0.388,0.765,1.000
Jim Fasano,403.000,7.700,23.100,0.244,0.308,0.384,0.692,0.000
Jim Gallagher,590.000,12.500,15.100,0.294,0.392,0.427,0.820,0.000
Jim Murphy,579.000,10.200,20.600,0.273,0.352,0.465,0.818,0.000
Jim Negrych,458.000,9.800,11.400,0.304,0.370,0.402,0.772,0.000
Jimmy Paredes,408.000,3.700,20.600,0.270,0.300,0.426,0.726,0.000
Jimmy Van Ostrand,405.885,10.591,14.643,0.294,0.373,0.473,0.845,0.000
Jio Mier,429.924,11.306,20.257,0.227,0.322,0.320,0.643,0.000
Jiwan James,416.000,5.000,27.600,0.249,0.291,0.360,0.651,0.000
Joc Pederson,519.000,13.500,22.000,0.278,0.381,0.497,0.878,1.000
Joe Benson,466.416,10.901,22.987,0.267,0.364,0.474,0.838,0.000
